metres,GR,helper
84.1248,4.6123,1
84.2772,4.53,1
84.4296,4.0305,1
84.582,2.8578,1
84.7344,2.4914,1
84.8868,3.0107,1
85.0392,2.58,1
85.1916,2.53,1
85.344,3.0892,1
85.4964,3.1326,1
85.6488,2.92,1
85.8012,3.15,1
85.9536,3.7529,1
86.106,4.0822,1
86.2584,4.22,1
86.4108,4.1815,1
86.5632,3.5174,1
86.7156,2.7582,1
86.868,2.3431,1
87.0204,2.1828,1
87.1728,2.1276,1
87.3252,2.0607,1
87.4776,2.3158,1
87.63,2.9859,1
87.7824,3.1004,1
87.9348,3.1126,1
88.0872,2.8889,1
88.2396,2.9249,1
88.392,3.045,1
88.5444,3.1648,1
88.6968,3.3594,1
88.8492,3.1989,1
89.0016,2.6283,1
89.154,2.2023,1
89.3064,2.0854,1
89.4588,2.3452,1
89.6112,3.1671,1
89.7636,3.6836,1
89.916,3.4939,1
90.0684,2.9912,1
90.2208,2.8853,1
90.3732,3.2791,1
90.5256,3.585,1
90.678,3.9035,1
90.8304,4.0479,1
90.9828,3.9491,1
91.1352,4.293,1
91.2876,3.8535,1
91.44,2.8187,1
91.5924,2.3714,1
91.7448,2.822,1
91.8972,3.5539,1
92.0496,3.5533,1
92.202,4.0531,1
92.3544,4.397,1
92.5068,4.1398,1
92.6592,3.5643,1
92.8116,3.0864,1
92.964,3.4178,1
93.1164,3.3083,1
93.2688,3.8715,1
93.4212,4.2544,1
93.5736,4.0622,1
93.726,3.4233,1
93.8784,2.7766,1
94.0308,2.6334,1
94.1832,2.8224,1
94.3356,2.8357,1
94.488,3.6089,1
94.6404,4.4176,1
94.7928,5.2479,1
94.9452,4.8847,1
95.0976,5.0428,1
95.25,5.5725,1
95.4024,5.1413,1
95.5548,4.8244,1
95.7072,4.8307,1
95.8596,5.3828,1
96.012,5.375,1
96.1644,5.0952,1
96.3168,4.8089,1
96.4692,4.3298,1
96.6216,3.5397,1
96.774,3.8815,1
96.9264,4.1875,1
97.0788,4.0886,1
97.2312,3.8684,1
97.3836,4.7783,1
97.536,5.7731,1
97.6884,6.5468,1
97.8408,6.9367,1
97.9932,6.8343,1
98.1456,6.0823,1
98.298,5.4869,1
98.4504,5.701,1
98.6028,5.1764,1
98.7552,4.4261,1
98.9076,4.4034,1
99.06,5.0344,1
99.2124,4.8545,1
99.3648,4.6069,1
99.5172,5.5489,1
99.6696,6.394,1
99.822,5.5404,1
