"Depth..m.","Gamma.Ray"
131.9784,9.286
132.1308,9.547
132.2832,10.2442
132.4356,10.2708
132.588,10.5451
132.7404,9.985
132.8928,8.3283
133.0452,7.9558
133.1976,8.2957
133.35,8.9979
133.5024,9.2725
133.6548,9.0536
133.8072,8.7996
133.9596,8.576
134.112,8.2167
134.2644,7.6326
134.4168,7.5779
134.5692,8.2772
134.7216,8.8681
134.874,9.8724
135.0264,9.6109
135.1788,8.6053
135.3312,8.6702
135.4836,9.4173
135.636,10.1693
135.7884,9.7775
135.9408,9.1308
136.0932,9.1845
136.2456,9.5062
136.398,9.1223
136.5504,8.742
136.7028,8.4957
136.8552,8.2123
137.0076,8.6639
137.16,8.8159
137.3124,8.9985
137.4648,8.0132
137.6172,7.2972
137.7696,7.9639
137.922,9.4403
138.0744,10.549
138.2268,10.599
138.3792,9.8557
138.5316,8.9744
138.684,8.9376
138.8364,8.2122
138.9888,7.861
139.1412,8.1457
139.2936,9.4853
139.446,9.5659
139.5984,9.125
139.7508,8.7959
139.9032,9.2609
140.0556,9.5728
140.208,9.0318
140.3604,8.9624
140.5128,9.1323
140.6652,9.3874
140.8176,9.4036
140.97,9.2268
141.1224,9.0612
141.2748,9.2344
141.4272,9.3041
141.5796,9.063
141.732,9.0096
141.8844,8.7377
142.0368,8.258
142.1892,9.0174
142.3416,9.3317
142.494,9.0721
142.6464,8.8504
142.7988,8.519
142.9512,8.0853
143.1036,7.6103
143.256,7.3632
143.4084,7.4975
143.5608,8.4194
143.7132,9.2096
143.8656,9.1589
144.018,9.0824
144.1704,9.9457
144.3228,10.4789
144.4752,9.9493
144.6276,9.5002
144.78,9.7461
144.9324,9.6656
145.0848,9.1191
145.2372,8.8279
145.3896,8.9334
145.542,9.556
145.6944,10.297
145.8468,10.4339
145.9992,9.7416
146.1516,8.9937
146.304,8.6525
146.4564,8.6381
146.6088,9.0404
146.7612,9.22
146.9136,9.4808
147.066,9.8553
147.2184,10.625
147.3708,10.8934
147.5232,10.1826
147.6756,9.196
147.828,8.2218
147.9804,7.7149
148.1328,8.3692
148.2852,9.8233
148.4376,11.4074
148.59,12.2418
148.7424,12.4072
148.8948,11.6681
149.0472,10.6574
149.1996,9.4129
149.352,9.0721
149.5044,9.1609
149.6568,9.2714
149.8092,9.2196
149.9616,8.84
150.114,8.3919
150.2664,8.0526
150.4188,8.1813
150.5712,8.4266
150.7236,9.0196
150.876,9.7214
151.0284,9.8414
151.1808,10.3378
151.3332,11.2085
151.4856,11.9612
151.638,11.8977
151.7904,11.2604
151.9428,10.8089
152.0952,11.2015
152.2476,11.75
152.4,11.7365
152.5524,11.2343
152.7048,10.5144
152.8572,10.2788
153.0096,10.5565
153.162,11.2304
153.3144,11.0725
153.4668,10.5795
153.6192,10.724
153.7716,11.1741
153.924,11.1219
154.0764,10.8975
154.2288,11.1032
154.3812,11.5204
154.5336,11.397
154.686,10.8041
154.8384,10.6244
154.9908,11.3863
155.1432,11.9641
155.2956,11.3271
155.448,10.499
155.6004,9.8491
155.7528,9.5439
155.9052,9.7199
156.0576,10.3963
156.21,11.1149
156.3624,11.1892
156.5148,10.8412
156.6672,11.0474
156.8196,11.4859
156.972,10.9796
157.1244,9.9489
157.2768,9.2086
157.4292,9.0313
157.5816,9.6355
157.734,10.2248
157.8864,10.2158
158.0388,9.7496
158.1912,9.311
158.3436,9.2975
158.496,9.7946
158.6484,10.4007
158.8008,10.6546
158.9532,10.4135
159.1056,9.8381
159.258,9.3257
159.4104,9.1775
159.5628,9.2659
159.7152,9.1578
159.8676,8.8619
160.02,8.6184
160.1724,8.7946
160.3248,8.8686
160.4772,8.5076
160.6296,8.0763
160.782,8.3315
160.9344,9.3288
161.0868,10.2556
161.2392,10.8973
161.3916,11.1472
161.544,11.4567
161.6964,11.7894
161.8488,11.386
162.0012,11.0241
162.1536,11.5585
162.306,11.8304
162.4584,11.0705
162.6108,10.3493
162.7632,9.9504
162.9156,10.2813
163.068,11.0636
163.2204,11.6058
163.3728,11.7374
163.5252,11.8434
163.6776,11.925
163.83,11.7436
163.9824,11.2016
164.1348,10.748
164.2872,10.8151
164.4396,11.3064
164.592,11.8178
164.7444,12.247
164.8968,12.5932
165.0492,12.8821
165.2016,13.0459
165.354,12.9951
165.5064,12.6586
165.6588,12.0369
165.8112,11.696
165.9636,11.7635
166.116,11.3555
166.2684,10.5569
166.4208,9.9186
166.5732,9.9674
166.7256,10.3808
166.878,10.1771
167.0304,9.8154
167.1828,9.8335
167.3352,10.3461
167.4876,11.3243
167.64,12.5994
167.7924,13.5735
167.9448,13.5657
168.0972,12.5165
168.2496,11.0931
168.402,10.2441
168.5544,10.9402
168.7068,12.5169
168.8592,13.4522
169.0116,12.849
169.164,11.3781
169.3164,10.5119
169.4688,10.5533
169.6212,10.4987
169.7736,9.9049
169.926,9.8548
170.0784,10.7303
170.2308,11.5758
170.3832,11.4577
170.5356,10.878
170.688,10.7457
170.8404,11.0901
170.9928,11.202
171.1452,10.5076
171.2976,9.1474
171.45,7.8422
171.6024,7.2313
171.7548,7.4603
171.9072,8.3416
172.0596,9.4935
172.212,10.3962
172.3644,10.5755
172.5168,10.3376
172.6692,10.8048
172.8216,11.857
172.974,12.1859
173.1264,10.9644
173.2788,9.2452
173.4312,7.9381
173.5836,7.8575
173.736,8.9567
173.8884,10.2968
174.0408,11.2946
174.1932,11.6326
174.3456,11.3971
174.498,11.1095
174.6504,11.2395
174.8028,11.2845
174.9552,10.8361
175.1076,10.4738
175.26,10.5137
175.4124,10.2899
175.5648,10.0717
175.7172,10.3241
175.8696,10.804
176.022,11.1161
176.1744,10.6281
176.3268,9.5147
176.4792,8.8144
176.6316,8.7114
176.784,8.8599
176.9364,9.0124
177.0888,9.2365
177.2412,9.62
177.3936,10.0739
177.546,10.3721
177.6984,10.4755
177.8508,10.7922
178.0032,11.478
178.1556,12.0822
178.308,12.2314
178.4604,11.9505
178.6128,11.5706
178.7652,11.2807
178.9176,11.2075
179.07,11.3956
179.2224,11.7203
179.3748,12.0825
179.5272,12.4941
179.6796,12.7222
179.832,12.5409
179.9844,12.29
180.1368,12.2934
180.2892,12.5386
180.4416,12.9295
180.594,13.3655
180.7464,13.7895
180.8988,14.0982
181.0512,14.1743
181.2036,14.1231
181.356,14.0907
181.5084,14.0304
181.6608,13.9424
181.8132,13.9688
181.9656,13.7986
182.118,12.8823
182.2704,11.522
182.4228,10.4029
182.5752,9.9082
182.7276,10.1694
182.88,10.9346
183.0324,11.6493
183.1848,11.9009
183.3372,11.7028
183.4896,11.4803
183.642,11.5533
183.7944,11.7675
183.9468,11.7295
184.0992,11.3939
184.2516,11.1551
184.404,11.2161
184.5564,11.4852
184.7088,11.8423
184.8612,12.161
185.0136,12.4132
185.166,12.689
185.3184,13.0484
185.4708,13.6543
185.6232,14.3932
185.7756,14.155
185.928,12.5453
186.0804,10.9053
186.2328,10.2444
186.3852,10.4935
186.5376,10.9909
186.69,11.2005
186.8424,11.4505
186.9948,12.1119
187.1472,12.6076
187.2996,12.6743
187.452,13.299
187.6044,14.707
187.7568,15.5601
187.9092,15.244
188.0616,14.5172
188.214,14.0385
188.3664,13.7722
188.5188,13.3238
188.6712,12.5875
188.8236,11.8289
188.976,11.1765
189.1284,10.6148
189.2808,10.1143
189.4332,9.6955
189.5856,9.6943
189.738,10.3693
189.8904,11.1724
190.0428,11.2321
190.1952,10.4715
190.3476,9.4464
190.5,8.6586
190.6524,8.6133
190.8048,9.4199
190.9572,10.4267
191.1096,10.9724
191.262,10.9547
191.4144,10.7459
191.5668,10.7171
191.7192,10.6997
191.8716,10.3387
192.024,9.7135
192.1764,9.2422
192.3288,9.295
