"Measured Depth","Gamma-Ray log"
150.2664,6.206268
150.4188,6.133427
150.5712,5.831959
150.7236,4.978016
150.876,4.397091
151.0284,4.525181
151.1808,5.306702
151.3332,6.1763
151.4856,5.651131
151.638,5.032192
151.7904,6.093224
151.9428,6.108036
152.0952,4.731026
152.2476,4.756107
152.4,4.169064
152.5524,4.715069
152.7048,5.307697
152.8572,5.46257
153.0096,5.969551
153.162,6.250591
153.3144,6.304565
153.4668,6.471638
153.6192,6.325802
153.7716,6.15712
153.924,5.784355
154.0764,5.524403
154.2288,5.293163
154.3812,4.953152
154.5336,5.099041
154.686,4.839676
154.8384,4.130413
154.9908,5.253811
155.1432,5.223785
155.2956,4.448345
155.448,4.180172
155.6004,4.441433
155.7528,4.694847
155.9052,4.914577
156.0576,5.243263
156.21,5.355324
156.3624,5.161442
156.5148,5.37426
156.6672,6.101196
156.8196,6.652744
156.972,6.290905
157.1244,5.836548
157.2768,6.242298
157.4292,5.774368
157.5816,5.446022
157.734,6.021534
157.8864,6.244171
158.0388,6.880505
158.1912,6.682575
158.3436,6.265182
158.496,5.190586
158.6484,3.890532
158.8008,3.786732
158.9532,4.447945
159.1056,4.874577
159.258,4.971474
159.4104,4.474201
159.5628,4.615597
159.7152,4.785969
159.8676,4.451885
160.02,4.710602
160.1724,4.789845
160.3248,4.72987
160.4772,5.435024
160.6296,5.574673
160.782,5.364468
160.9344,5.478626
161.0868,6.172874
161.2392,5.51667
161.3916,4.685249
161.544,4.661831
161.6964,5.285675
161.8488,5.398117
162.0012,5.499371
162.1536,6.115234
162.306,6.936897
162.4584,7.341225
162.6108,7.590885
162.7632,7.602234
162.9156,6.575813
163.068,5.859921
163.2204,5.077641
163.3728,4.607388
163.5252,3.978657
163.6776,3.377451
163.83,3.433977
163.9824,4.139065
164.1348,4.602001
164.2872,4.062832
164.4396,3.648006
164.592,3.894171
164.7444,4.607197
164.8968,5.36446
165.0492,5.470284
165.2016,5.218086
165.354,4.721092
165.5064,4.325989
165.6588,4.178249
165.8112,4.179443
165.9636,4.396984
166.116,4.804558
166.2684,5.188393
166.4208,5.209057
166.5732,5.456543
166.7256,6.111389
166.878,6.88554
167.0304,6.290062
167.1828,4.516411
167.3352,4.041267
167.4876,3.90341
167.64,3.049549
167.7924,1.96861
167.9448,2.434225
168.0972,3.132952
168.2496,3.664686
168.402,4.2164
168.5544,4.554642
168.7068,5.354225
168.8592,6.09037
169.0116,5.858898
169.164,5.836018
169.3164,5.922901
169.4688,5.234138
169.6212,4.036263
169.7736,3.64452
169.926,3.849764
170.0784,3.952642
170.2308,4.274738
170.3832,4.730068
170.5356,5.188007
170.688,5.683479
170.8404,6.071514
170.9928,5.719925
171.1452,4.796143
171.2976,4.851089
171.45,4.297688
171.6024,4.137505
171.7548,4.53558
171.9072,4.665161
172.0596,4.622673
172.212,3.829832
172.3644,2.538391
172.5168,3.864269
172.6692,5.159527
172.8216,6.359138
172.974,4.447102
173.1264,4.632446
173.2788,4.167011
173.4312,3.613062
173.5836,3.208954
173.736,3.519661
173.8884,3.627302
174.0408,4.123569
174.1932,4.54641
174.3456,4.137951
174.498,3.374714
174.6504,3.301645
174.8028,2.995649
174.9552,2.527395
175.1076,2.919661
175.26,3.165398
175.4124,3.327436
175.5648,3.382721
175.7172,2.935244
175.8696,3.096508
176.022,4.080376
176.1744,4.466824
176.3268,5.231133
176.4792,6.550102
176.6316,6.12101
176.784,5.168915
176.9364,4.267986
