Measured Depth,Gamma-Ray log,helper
150.2664,6.206268,1
150.4188,6.133427,1
150.5712,5.831959,1
150.7236,4.978016,1
150.876,4.397091,1
151.0284,4.525181,1
151.1808,5.306702,1
151.3332,6.1763,1
151.4856,5.651131,1
151.638,5.032192,1
151.7904,6.093224,1
151.9428,6.108036,1
152.0952,4.731026,1
152.2476,4.756107,1
152.4,4.169064,1
152.5524,4.715069,1
152.7048,5.307697,1
152.8572,5.46257,1
153.0096,5.969551,1
153.162,6.250591,1
153.3144,6.304565,1
153.4668,6.471638,1
153.6192,6.325802,1
153.7716,6.15712,1
153.924,5.784355,1
154.0764,5.524403,1
154.2288,5.293163,1
154.3812,4.953152,1
154.5336,5.099041,1
154.686,4.839676,1
154.8384,4.130413,1
154.9908,5.253811,1
155.1432,5.223785,1
155.2956,4.448345,1
155.448,4.180172,1
155.6004,4.441433,1
155.7528,4.694847,1
155.9052,4.914577,1
156.0576,5.243263,1
156.21,5.355324,1
156.3624,5.161442,1
156.5148,5.37426,1
156.6672,6.101196,1
156.8196,6.652744,1
156.972,6.290905,1
157.1244,5.836548,1
157.2768,6.242298,1
157.4292,5.774368,1
157.5816,5.446022,1
157.734,6.021534,1
157.8864,6.244171,1
158.0388,6.880505,1
158.1912,6.682575,1
158.3436,6.265182,1
158.496,5.190586,1
158.6484,3.890532,1
158.8008,3.786732,1
158.9532,4.447945,1
159.1056,4.874577,1
159.258,4.971474,1
159.4104,4.474201,1
159.5628,4.615597,1
159.7152,4.785969,1
159.8676,4.451885,1
160.02,4.710602,1
160.1724,4.789845,1
160.3248,4.72987,1
160.4772,5.435024,1
160.6296,5.574673,1
160.782,5.364468,1
160.9344,5.478626,1
161.0868,6.172874,1
161.2392,5.51667,1
161.3916,4.685249,1
161.544,4.661831,1
161.6964,5.285675,1
161.8488,5.398117,1
162.0012,5.499371,1
162.1536,6.115234,1
162.306,6.936897,1
162.4584,7.341225,1
162.6108,7.590885,1
162.7632,7.602234,1
162.9156,6.575813,1
163.068,5.859921,1
163.2204,5.077641,1
163.3728,4.607388,1
163.5252,3.978657,1
163.6776,3.377451,1
163.83,3.433977,1
163.9824,4.139065,1
164.1348,4.602001,1
164.2872,4.062832,1
164.4396,3.648006,1
164.592,3.894171,1
164.7444,4.607197,1
164.8968,5.36446,1
165.0492,5.470284,1
165.2016,5.218086,1
165.354,4.721092,1
165.5064,4.325989,1
165.6588,4.178249,1
165.8112,4.179443,1
165.9636,4.396984,1
166.116,4.804558,1
166.2684,5.188393,1
166.4208,5.209057,1
166.5732,5.456543,1
166.7256,6.111389,1
166.878,6.88554,1
167.0304,6.290062,1
167.1828,4.516411,1
167.3352,4.041267,1
167.4876,3.90341,1
167.64,3.049549,1
167.7924,1.96861,1
167.9448,2.434225,1
168.0972,3.132952,1
168.2496,3.664686,1
168.402,4.2164,1
168.5544,4.554642,1
168.7068,5.354225,1
168.8592,6.09037,1
169.0116,5.858898,1
169.164,5.836018,1
169.3164,5.922901,1
169.4688,5.234138,1
169.6212,4.036263,1
169.7736,3.64452,1
169.926,3.849764,1
170.0784,3.952642,1
170.2308,4.274738,1
170.3832,4.730068,1
170.5356,5.188007,1
170.688,5.683479,1
170.8404,6.071514,1
170.9928,5.719925,1
