"DEPTH_WMSF","HCGR"
0,0.4255
0.1524,1.8573
0.3048,2.5597
0.4572,1.1057
0.6096,-0.0476
0.762,0.0326
0.9144,0.5696
1.0668,1.0982
1.2192,0.6885
1.3716,0.2965
1.524,0.2854
1.6764,0.1511
1.8288,-0.0157
1.9812,-0.0141
2.1336,-0.003
2.286,0.1442
2.4384,0.4048
2.5908,0.3867
2.7432,0.2765
2.8956,0.3181
3.048,0.4201
3.2004,0.3912
3.3528,0.4672
3.5052,0.485
3.6576,0.4553
3.81,0.1269
3.9624,-0.4302
4.1148,-0.1316
4.2672,0.0196
4.4196,0.1721
4.572,0.1954
4.7244,1.8494
4.8768,2.7113
5.0292,2.1454
5.1816,1.4614
5.334,0.9228
5.4864,0.9216
5.6388,1.3924
5.7912,1.7297
5.9436,2.1131
6.096,1.6492
6.2484,1.5627
6.4008,1.1195
6.5532,0.6278
6.7056,0.3957
6.858,0.5876
7.0104,0.3297
7.1628,0.2006
7.3152,0.1483
7.4676,0.1874
7.62,0.2986
7.7724,0.2991
7.9248,0.2075
8.0772,-0.0547
8.2296,-0.1589
8.382,-0.1178
8.5344,-0.1819
8.6868,-0.1084
8.8392,-0.1666
8.9916,-0.3091
9.144,-0.6022
9.2964,-0.6707
9.4488,-0.778
9.6012,-0.5536
9.7536,-0.563
9.906,-0.6885
10.0584,-0.7394
10.2108,-0.6122
10.3632,-0.4378
10.5156,-0.4456
10.668,-0.3449
10.8204,-0.4405
10.9728,-0.0341
11.1252,0.3152
11.2776,0.3563
11.43,0.3196
11.5824,0.8779
11.7348,0.6156
11.8872,0.5752
12.0396,0.2468
12.192,0.0261
12.3444,0.185
12.4968,0.1265
12.6492,-0.2363
12.8016,-0.2134
12.954,-0.2118
13.1064,-0.2214
13.2588,-0.3727
13.4112,-0.3291
13.5636,-0.3014
13.716,-0.2462
13.8684,-0.1597
14.0208,-0.1705
14.1732,-0.1744
14.3256,-0.1844
14.478,-0.1862
14.6304,-0.1216
14.7828,-0.0879
14.9352,-0.1763
15.0876,-0.2106
15.24,-0.2445
15.3924,-0.3808
15.5448,-0.6115
15.6972,-0.2519
15.8496,-0.196
16.002,-0.1311
16.1544,-0.1076
16.3068,-0.2635
16.4592,-0.2654
16.6116,-0.1789
16.764,-0.1905
16.9164,-0.2799
17.0688,-0.27
17.2212,-0.2862
17.3736,-0.4451
17.526,-0.5109
17.6784,-0.4016
17.8308,-0.5043
17.9832,-0.3278
18.1356,-0.2965
18.288,-0.3582
18.4404,-0.3179
18.5928,-0.2561
18.7452,-0.3036
18.8976,-0.3379
19.05,-0.2497
19.2024,0.033
19.3548,0.0802
19.5072,0.0065
19.6596,-0.0692
19.812,-0.1441
19.9644,0.3688
20.1168,0.4057
20.2692,0.278
20.4216,0.3107
20.574,0.4253
20.7264,0.7003
20.8788,0.4528
21.0312,0.4199
21.1836,0.2917
21.336,0.1756
21.4884,0.3725
21.6408,0.0016
21.7932,-0.2416
21.9456,-0.2219
22.098,0.1111
22.2504,0.1696
22.4028,0.0377
22.5552,-0.0855
22.7076,-0.2522
22.86,-0.2501
23.0124,-0.0287
23.1648,0.0284
23.3172,0.2151
23.4696,0.2489
23.622,0.2415
23.7744,-0.0231
23.9268,-0.0171
24.0792,0.2349
24.2316,0.3621
24.384,0.3963
24.5364,0.5057
24.6888,0.4048
24.8412,0.4234
24.9936,0.2349
25.146,0.3439
25.2984,0.244
25.4508,0.2095
25.6032,0.0915
25.7556,-0.0896
25.908,-0.0565
26.0604,0.3649
26.2128,0.429
26.3652,0.2807
26.5176,0.1177
26.67,0.1144
26.8224,0.1984
26.9748,0.5667
27.1272,0.4534
27.2796,0.3488
27.432,0.2738
27.5844,0.1654
27.7368,-0.2531
27.8892,-0.4875
28.0416,-0.4073
28.194,-0.3388
28.3464,-0.3669
28.4988,-0.4059
28.6512,-0.6727
28.8036,-0.7331
28.956,-0.5472
