DEPTH_WMSF,HCGR
0,7.2976
0.1524,6.298
0.3048,7.0988
0.4572,7.3924
0.6096,9.0244
0.762,6.526
0.9144,5.4052
1.0668,3.2164
1.2192,3.0944
1.3716,2.8264
1.524,2.5736
1.6764,0.0632
1.8288,0.0892
1.9812,0.504
2.1336,1.294
2.286,1.3672
2.4384,2.2888
2.5908,2.2228
2.7432,2.5668
2.8956,3.1248
3.048,2.9912
3.2004,3.1952
3.3528,3.9764
3.5052,4.404
3.6576,5.9292
3.81,9.9552
3.9624,9.6412
4.1148,7.5104
4.2672,6.906
4.4196,5.9812
4.572,6.4692
4.7244,6.1264
4.8768,6.0512
5.0292,6.0392
5.1816,7.1144
5.334,7.858
5.4864,5.4704
5.6388,6.1656
5.7912,6.4956
5.9436,7.9396
6.096,8.1444
6.2484,9.4916
6.4008,8.8016
6.5532,6.722
6.7056,4.0708
6.858,3.3628
7.0104,3.768
7.1628,4.4268
7.3152,2.98
7.4676,2.6156
7.62,2.7876
7.7724,2.972
7.9248,2.8336
8.0772,2.27
8.2296,1.7124
8.382,1.3148
8.5344,0.5596
8.6868,0.0256
8.8392,0.2788
8.9916,0.9892
9.144,2.0656
9.2964,1.37
9.4488,1.4064
9.6012,0.0796
9.7536,0.0692
9.906,1.4044
10.0584,1.504
10.2108,1.2092
10.3632,0.1316
10.5156,0.0984
10.668,2.6128
10.8204,3.7584
10.9728,3.7764
11.1252,3.0832
11.2776,3.4008
11.43,3.4732
11.5824,3.6336
11.7348,3.8284
11.8872,4.6388
12.0396,5.5064
12.192,5.8508
12.3444,3.5016
12.4968,3.0848
12.6492,3.1336
12.8016,3.0252
12.954,3.1628
13.1064,3.6792
13.2588,3.3028
13.4112,3.3296
13.5636,3.4872
13.716,4.138
13.8684,3.9916
14.0208,3.7872
14.1732,3.2192
14.3256,2.9436
14.478,2.9412
14.6304,2.7108
14.7828,1.8136
14.9352,1.6424
15.0876,3.6276
15.24,4.9128
15.3924,3.9536
15.5448,3.356
15.6972,3.0368
15.8496,4.0696
16.002,6.2896
16.1544,7.0516
16.3068,6.658
16.4592,8.0668
16.6116,6.1388
16.764,4.184
16.9164,3.5528
17.0688,4.3544
17.2212,4.1872
17.3736,3.7668
17.526,5.0048
17.6784,6.6196
17.8308,7.024
17.9832,5.8452
18.1356,6.1336
18.288,5.7296
18.4404,5.7768
18.5928,5.2536
18.7452,6.3856
18.8976,6.7604
19.05,5.6548
19.2024,4.4668
19.3548,4.302
19.5072,4.146
19.6596,4.132
19.812,3.3288
19.9644,4.6568
20.1168,5.5696
20.2692,5.1928
20.4216,3.8772
20.574,3.9064
20.7264,4.5628
20.8788,4.9304
21.0312,4.734
21.1836,5.0092
21.336,5.736
21.4884,5.3492
21.6408,3.7396
21.7932,3.808
21.9456,4.2028
22.098,4.9448
22.2504,4.926
22.4028,6.4988
22.5552,7.422
22.7076,7.3952
22.86,7.7036
23.0124,7.9596
23.1648,8.1348
23.3172,9.1164
23.4696,10.3708
23.622,9.782
23.7744,9.8276
23.9268,9.8516
