DEPTH_WMSF,HCGR,helper
0,7.2976,1
0.1524,6.298,1
0.3048,7.0988,1
0.4572,7.3924,1
0.6096,9.0244,1
0.762,6.526,1
0.9144,5.4052,1
1.0668,3.2164,1
1.2192,3.0944,1
1.3716,2.8264,1
1.524,2.5736,1
1.6764,0.0632,1
1.8288,0.0892,1
1.9812,0.504,1
2.1336,1.294,1
2.286,1.3672,1
2.4384,2.2888,1
2.5908,2.2228,1
2.7432,2.5668,1
2.8956,3.1248,1
3.048,2.9912,1
3.2004,3.1952,1
3.3528,3.9764,1
3.5052,4.404,1
3.6576,5.9292,1
3.81,9.9552,1
3.9624,9.6412,1
4.1148,7.5104,1
4.2672,6.906,1
4.4196,5.9812,1
4.572,6.4692,1
4.7244,6.1264,1
4.8768,6.0512,1
5.0292,6.0392,1
5.1816,7.1144,1
5.334,7.858,1
5.4864,5.4704,1
5.6388,6.1656,1
5.7912,6.4956,1
5.9436,7.9396,1
6.096,8.1444,1
6.2484,9.4916,1
6.4008,8.8016,1
6.5532,6.722,1
6.7056,4.0708,1
6.858,3.3628,1
7.0104,3.768,1
7.1628,4.4268,1
7.3152,2.98,1
7.4676,2.6156,1
7.62,2.7876,1
7.7724,2.972,1
7.9248,2.8336,1
8.0772,2.27,1
8.2296,1.7124,1
8.382,1.3148,1
8.5344,0.5596,1
8.6868,0.0256,1
8.8392,0.2788,1
8.9916,0.9892,1
9.144,2.0656,1
9.2964,1.37,1
9.4488,1.4064,1
9.6012,0.0796,1
9.7536,0.0692,1
9.906,1.4044,1
10.0584,1.504,1
10.2108,1.2092,1
10.3632,0.1316,1
10.5156,0.0984,1
10.668,2.6128,1
10.8204,3.7584,1
10.9728,3.7764,1
11.1252,3.0832,1
11.2776,3.4008,1
11.43,3.4732,1
11.5824,3.6336,1
11.7348,3.8284,1
11.8872,4.6388,1
12.0396,5.5064,1
12.192,5.8508,1
12.3444,3.5016,1
12.4968,3.0848,1
12.6492,3.1336,1
12.8016,3.0252,1
12.954,3.1628,1
13.1064,3.6792,1
13.2588,3.3028,1
13.4112,3.3296,1
13.5636,3.4872,1
13.716,4.138,1
13.8684,3.9916,1
14.0208,3.7872,1
14.1732,3.2192,1
14.3256,2.9436,1
14.478,2.9412,1
14.6304,2.7108,1
14.7828,1.8136,1
14.9352,1.6424,1
15.0876,3.6276,1
15.24,4.9128,1
15.3924,3.9536,1
15.5448,3.356,1
15.6972,3.0368,1
15.8496,4.0696,1
16.002,6.2896,1
16.1544,7.0516,1
16.3068,6.658,1
16.4592,8.0668,1
16.6116,6.1388,1
16.764,4.184,1
16.9164,3.5528,1
17.0688,4.3544,1
17.2212,4.1872,1
17.3736,3.7668,1
17.526,5.0048,1
17.6784,6.6196,1
17.8308,7.024,1
17.9832,5.8452,1
18.1356,6.1336,1
18.288,5.7296,1
18.4404,5.7768,1
18.5928,5.2536,1
18.7452,6.3856,1
18.8976,6.7604,1
19.05,5.6548,1
19.2024,4.4668,1
19.3548,4.302,1
19.5072,4.146,1
19.6596,4.132,1
19.812,3.3288,1
19.9644,4.6568,1
20.1168,5.5696,1
20.2692,5.1928,1
20.4216,3.8772,1
20.574,3.9064,1
20.7264,4.5628,1
20.8788,4.9304,1
21.0312,4.734,1
21.1836,5.0092,1
21.336,5.736,1
21.4884,5.3492,1
21.6408,3.7396,1
21.7932,3.808,1
21.9456,4.2028,1
22.098,4.9448,1
22.2504,4.926,1
22.4028,6.4988,1
22.5552,7.422,1
22.7076,7.3952,1
22.86,7.7036,1
23.0124,7.9596,1
23.1648,8.1348,1
23.3172,9.1164,1
23.4696,10.3708,1
23.622,9.782,1
23.7744,9.8276,1
23.9268,9.8516,1
24.0792,8.118,1
24.2316,7.0524,1
24.384,5.9316,1
