"","depth_mm","Fe"
"1",0,231.594285714286
"2",0.095,227.835227272727
"3",0.19,230.272727272727
"4",0.285,223.90395480226
"5",0.38,227.14606741573
"6",0.475,232.331460674157
"7",0.57,224.977653631285
"8",0.665,224.111111111111
"9",0.76,222.066298342541
"10",0.855,222.182320441989
"11",0.95,228.668508287293
"12",1.045,230.099447513812
"13",1.14,230.906077348066
"14",1.235,224.955801104972
"15",1.33,220.403314917127
"16",1.425,223.850828729282
"17",1.52,225.066298342541
"18",1.615,228.044198895028
"19",1.71,229.801104972376
"20",1.805,227.618784530387
"21",1.9,228.779005524862
"22",1.995,229.839779005525
"23",2.09,221.867403314917
"24",2.185,219.270718232044
"25",2.28,220.441988950276
"26",2.375,225.839779005525
"27",2.47,222.828729281768
"28",2.565,220.718232044199
"29",2.66,224.71270718232
"30",2.755,218.121546961326
"31",2.85,218.629834254144
"32",2.945,225.276243093923
"33",3.04,221.558011049724
"34",3.135,223.850828729282
"35",3.23,227.303867403315
"36",3.325,222.563535911602
"37",3.42,220.337016574586
"38",3.515,216.204419889503
"39",3.61,221.353591160221
"40",3.705,220.28729281768
"41",3.8,225.911602209945
"42",3.895,230.541436464088
"43",3.99,226.773480662983
"44",4.085,230.359116022099
"45",4.18,225.569060773481
"46",4.275,224.154696132597
"47",4.37,226.254143646409
"48",4.465,230.39226519337
"49",4.56,225.469613259669
"50",4.655,225.270718232044
"51",4.75,223.524861878453
"52",4.845,227.867403314917
"53",4.94,222.729281767956
"54",5.035,222.718232044199
"55",5.13,228.75138121547
"56",5.225,221.75138121547
"57",5.32,223.756906077348
"58",5.415,225.425414364641
"59",5.51,223.889502762431
"60",5.605,225.635359116022
"61",5.7,226.359116022099
"62",5.795,223.469613259669
"63",5.89,228.193370165746
"64",5.985,232.795580110497
"65",6.08,239.016574585635
"66",6.175,231.966850828729
"67",6.27,231.71270718232
"68",6.365,232.370165745856
"69",6.46,232.524861878453
"70",6.555,231.596685082873
"71",6.65,234.088397790055
"72",6.745,227.939226519337
"73",6.84,231.298342541436
"74",6.935,234.646408839779
"75",7.03,226.966850828729
"76",7.125,229.513812154696
"77",7.22,231.729281767956
"78",7.315,236.342541436464
"79",7.41,233.331491712707
"80",7.505,231.944751381215
"81",7.6,237.486187845304
"82",7.695,238.419889502762
"83",7.79,239.226519337017
"84",7.885,244.723756906077
"85",7.98,233.39226519337
"86",8.075,230.121546961326
"87",8.17,233.977900552486
"88",8.265,237.701657458564
"89",8.36,241.303867403315
"90",8.455,244.762430939227
"91",8.55,238.944751381215
"92",8.645,234.425414364641
"93",8.74,236.077348066298
"94",8.835,236.331491712707
"95",8.93,237.78453038674
"96",9.025,233.298342541436
"97",9.12,235.232044198895
"98",9.215,231.160220994475
"99",9.31,229.513812154696
"100",9.405,233.005524861878
"101",9.5,228.419889502762
"102",9.595,228.657458563536
"103",9.69,226.812154696133
"104",9.785,227.281767955801
"105",9.88,230.78453038674
"106",9.975,233.364640883978
"107",10.07,234.806629834254
"108",10.165,223.298342541436
"109",10.26,221.28729281768
"110",10.355,223.734806629834
"111",10.45,225.359116022099
"112",10.545,226.491712707182
"113",10.64,229.806629834254
"114",10.735,224.685082872928
"115",10.83,221.491712707182
"116",10.925,222.193370165746
"117",11.02,227.900552486188
"118",11.115,224.027624309392
"119",11.21,225.011049723757
"120",11.305,224.381215469613
"121",11.4,222.591160220994
"122",11.495,215.497237569061
"123",11.59,215.337016574586
"124",11.685,210.171270718232
"125",11.78,215.14364640884
"126",11.875,217.309392265193
"127",11.97,213.132596685083
"128",12.065,218.127071823204
"129",12.16,216.011049723757
"130",12.255,220.07182320442
"131",12.35,218.220994475138
"132",12.445,221.950276243094
"133",12.54,222.149171270718
"134",12.635,221.082872928177
"135",12.73,225.933701657459
"136",12.825,234.077348066298
"137",12.92,229.707182320442
"138",13.015,225.552486187845
"139",13.11,224.756906077348
"140",13.205,225.900552486188
"141",13.3,223.337016574586
"142",13.395,220.917127071823
"143",13.49,226.453038674033
"144",13.585,224.745856353591
"145",13.68,218.480662983425
"146",13.775,218.270718232044
"147",13.87,219.314917127072
"148",13.965,217.988950276243
"149",14.06,221.254143646409
"150",14.155,216.883977900552
"151",14.25,220.580110497238
"152",14.345,224.60773480663
"153",14.44,224.060773480663
"154",14.535,223.950276243094
"155",14.63,213.569060773481
"156",14.725,212.834254143646
"157",14.82,217.220994475138
"158",14.915,213.574585635359
"159",15.01,221.209944751381
"160",15.105,212.834254143646
"161",15.2,191.226519337017
"162",15.295,175.723756906077
"163",15.39,163.944751381215
"164",15.485,162.292817679558
"165",15.58,160.198895027624
"166",15.675,157.685082872928
"167",15.77,153.756906077348
"168",15.865,154.104972375691
"169",15.96,154.78453038674
"170",16.055,147.878453038674
"171",16.15,146.187845303867
"172",16.245,144.917127071823
"173",16.34,158.613259668508
"174",16.435,170.939226519337
"175",16.53,177.011049723757
"176",16.625,159.270718232044
"177",16.72,142.486187845304
"178",16.815,139.552486187845
"179",16.91,129.491712707182
"180",17.005,119.502762430939
"181",17.1,109.127071823204
"182",17.195,108.955801104972
"183",17.29,105.353591160221
"184",17.385,97.4475138121547
"185",17.48,96.2430939226519
"186",17.575,92.5469613259668
"187",17.67,84.9502762430939
"188",17.765,84.7845303867403
"189",17.86,98.5690607734807
"190",17.955,92.3867403314917
"191",18.05,85.3480662983425
"192",18.145,95.1767955801105
"193",18.24,103.552486187845
"194",18.335,101.580110497238
"195",18.43,84.0276243093923
"196",18.525,73.7182320441989
"197",18.62,59.1436464088398
"198",18.715,63.1325966850829
"199",18.81,54.3867403314917
"200",18.905,65.7513812154696
"201",19,70.4364640883978
"202",19.095,49.475138121547
"203",19.19,40.8176795580111
"204",19.285,40.0939226519337
"205",19.38,39.707182320442
"206",19.475,41.1491712707182
"207",19.57,40.5193370165746
"208",19.665,42.6132596685083
"209",19.76,46.1988950276243
"210",19.855,44.232044198895
"211",19.95,41.232044198895
"212",20.045,40.6132596685083
"213",20.14,41.1104972375691
"214",20.235,41.7569060773481
"215",20.33,41.8453038674033
"216",20.425,39.4530386740332
"217",20.52,40.1270718232044
"218",20.615,41.0055248618785
"219",20.71,41.1933701657459
"220",20.805,40.9558011049724
"221",20.9,43.9171270718232
"222",20.995,44.2817679558011
"223",21.09,43.5745856353591
"224",21.185,44.7237569060773
"225",21.28,46.2430939226519
"226",21.375,47.2486187845304
"227",21.47,46.7845303867403
"228",21.565,47.3314917127072
"229",21.66,49.8895027624309
"230",21.755,51.8121546961326
"231",21.85,54.0718232044199
"232",21.945,53.9337016574586
"233",22.04,55.7790055248619
"234",22.135,55.6187845303867
"235",22.23,54.2762430939227
"236",22.325,54.4419889502762
"237",22.42,54.1160220994475
"238",22.515,53.3093922651934
"239",22.61,54.6132596685083
"240",22.705,55.6353591160221
"241",22.8,55.0828729281768
"242",22.895,56.8011049723757
"243",22.99,57.7458563535912
"244",23.085,55.4419889502762
"245",23.18,58.9060773480663
"246",23.275,61.6519337016575
"247",23.37,62.2099447513812
"248",23.465,60.5469613259668
"249",23.56,61.3701657458564
"250",23.655,62.8618784530387
"251",23.75,62.4806629834254
"252",23.845,64.1546961325967
"253",23.94,66.7624309392265
"254",24.035,66.9281767955801
"255",24.13,63.5745856353591
"256",24.225,65.5690607734807
