"","depth_mm","K"
"1",0,14.1428571428571
"2",0.095,13.6988636363636
"3",0.19,13.8238636363636
"4",0.285,13.7909604519774
"5",0.38,13.5561797752809
"6",0.475,13.752808988764
"7",0.57,13.9441340782123
"8",0.665,13.6444444444444
"9",0.76,13.5580110497238
"10",0.855,13.0773480662983
"11",0.95,13.7127071823204
"12",1.045,14.0165745856354
"13",1.14,13.9944751381215
"14",1.235,13.9779005524862
"15",1.33,13.1546961325967
"16",1.425,12.8453038674033
"17",1.52,13.9171270718232
"18",1.615,14.6077348066298
"19",1.71,14.1160220994475
"20",1.805,13.9281767955801
"21",1.9,13.6850828729282
"22",1.995,14.4198895027624
"23",2.09,13.8066298342541
"24",2.185,13.7016574585635
"25",2.28,13.6243093922652
"26",2.375,13.7513812154696
"27",2.47,13.7624309392265
"28",2.565,13.8011049723757
"29",2.66,13.5966850828729
"30",2.755,13.0828729281768
"31",2.85,13.5911602209945
"32",2.945,13.6961325966851
"33",3.04,13.4033149171271
"34",3.135,13.5911602209945
"35",3.23,14.232044198895
"36",3.325,13.585635359116
"37",3.42,14.2209944751381
"38",3.515,13.6077348066298
"39",3.61,13.707182320442
"40",3.705,13.1270718232044
"41",3.8,14.1270718232044
"42",3.895,14.1988950276243
"43",3.99,14.4972375690608
"44",4.085,13.8232044198895
"45",4.18,13.7237569060773
"46",4.275,13.6519337016575
"47",4.37,13.3812154696133
"48",4.465,13.8563535911602
"49",4.56,13.2651933701657
"50",4.655,13.8563535911602
"51",4.75,13.3756906077348
"52",4.845,13.3756906077348
"53",4.94,13.4972375690608
"54",5.035,13.5193370165746
"55",5.13,13.8618784530387
"56",5.225,13.5193370165746
"57",5.32,13.6519337016575
"58",5.415,13.2430939226519
"59",5.51,13.4585635359116
"60",5.605,12.8950276243094
"61",5.7,13.6022099447514
"62",5.795,12.7790055248619
"63",5.89,13.3812154696133
"64",5.985,13.9226519337017
"65",6.08,13.878453038674
"66",6.175,13.9944751381215
"67",6.27,13.6408839779006
"68",6.365,14.0883977900552
"69",6.46,13.6298342541436
"70",6.555,14.0441988950276
"71",6.65,14.0276243093923
"72",6.745,13.0055248618785
"73",6.84,13.8342541436464
"74",6.935,13.4033149171271
"75",7.03,13.8342541436464
"76",7.125,13.0386740331492
"77",7.22,13.1988950276243
"78",7.315,13.3646408839779
"79",7.41,13.353591160221
"80",7.505,13.2707182320442
"81",7.6,13.6519337016575
"82",7.695,13.7790055248619
"83",7.79,13.4475138121547
"84",7.885,14.1049723756906
"85",7.98,12.8563535911602
"86",8.075,13.182320441989
"87",8.17,13.2651933701657
"88",8.265,13.7237569060773
"89",8.36,13.6187845303867
"90",8.455,14.1049723756906
"91",8.55,13.9337016574586
"92",8.645,14.0718232044199
"93",8.74,13.7513812154696
"94",8.835,13.7292817679558
"95",8.93,13.4088397790055
"96",9.025,13.8232044198895
"97",9.12,13.5524861878453
"98",9.215,13.585635359116
"99",9.31,13.5414364640884
"100",9.405,13.4530386740331
"101",9.5,13.1767955801105
"102",9.595,13.232044198895
"103",9.69,12.9226519337017
"104",9.785,13.3701657458564
"105",9.88,13.5635359116022
"106",9.975,13.4254143646409
"107",10.07,13.817679558011
"108",10.165,12.9337016574586
"109",10.26,13.4198895027624
"110",10.355,12.3812154696133
