"","depth_mm","Si"
"1",0,2.66666666666667
"2",0.095,2.72611464968153
"3",0.19,2.73125
"4",0.285,2.52564102564103
"5",0.38,2.53086419753086
"6",0.475,2.52597402597403
"7",0.57,2.64375
"8",0.665,2.4792899408284
"9",0.76,2.37106918238994
"10",0.855,2.33544303797468
"11",0.95,2.58860759493671
"12",1.045,2.80357142857143
"13",1.14,2.55625
"14",1.235,2.53846153846154
"15",1.33,2.46060606060606
"16",1.425,2.67721518987342
"17",1.52,2.41666666666667
"18",1.615,2.74850299401198
"19",1.71,2.62650602409639
"20",1.805,2.55882352941176
"21",1.9,2.53374233128834
"22",1.995,2.59509202453988
"23",2.09,2.74025974025974
"24",2.185,2.43030303030303
"25",2.28,2.66666666666667
"26",2.375,2.61728395061728
"27",2.47,2.69047619047619
"28",2.565,2.68484848484849
"29",2.66,2.61309523809524
"30",2.755,2.57926829268293
"31",2.85,2.52727272727273
"32",2.945,2.68354430379747
"33",3.04,2.47305389221557
"34",3.135,2.49367088607595
"35",3.23,2.47169811320755
"36",3.325,2.56024096385542
"37",3.42,2.44242424242424
"38",3.515,2.55487804878049
"39",3.61,2.46583850931677
"40",3.705,2.54491017964072
"41",3.8,2.63855421686747
"42",3.895,2.56521739130435
"43",3.99,2.72670807453416
"44",4.085,2.78787878787879
"45",4.18,2.74698795180723
"46",4.275,2.52469135802469
"47",4.37,2.57228915662651
"48",4.465,2.65644171779141
"49",4.56,2.62025316455696
"50",4.655,2.5625
"51",4.75,2.54037267080745
"52",4.845,2.80124223602484
"53",4.94,2.54601226993865
"54",5.035,2.53048780487805
"55",5.13,2.54705882352941
"56",5.225,2.72289156626506
"57",5.32,2.42207792207792
"58",5.415,2.46060606060606
"59",5.51,2.76923076923077
"60",5.605,2.66257668711656
"61",5.7,2.59509202453988
"62",5.795,2.53892215568862
"63",5.89,2.6583850931677
"64",5.985,2.63030303030303
"65",6.08,2.72222222222222
"66",6.175,2.86309523809524
"67",6.27,2.54716981132075
"68",6.365,2.60869565217391
"69",6.46,2.58064516129032
"70",6.555,2.54938271604938
"71",6.65,2.81212121212121
"72",6.745,2.58125
"73",6.84,2.58083832335329
"74",6.935,2.59880239520958
"75",7.03,2.56962025316456
"76",7.125,2.50955414012739
"77",7.22,2.75151515151515
"78",7.315,2.51851851851852
"79",7.41,2.66013071895425
"80",7.505,2.51219512195122
"81",7.6,2.51515151515152
"82",7.695,2.58227848101266
"83",7.79,2.43859649122807
"84",7.885,2.53892215568862
"85",7.98,2.59146341463415
"86",8.075,2.30120481927711
"87",8.17,2.72727272727273
"88",8.265,2.67283950617284
"89",8.36,2.63905325443787
"90",8.455,2.54878048780488
"91",8.55,2.74233128834356
"92",8.645,2.73125
"93",8.74,2.73652694610778
"94",8.835,2.62025316455696
"95",8.93,2.72670807453416
"96",9.025,2.4578313253012
"97",9.12,2.70987654320988
"98",9.215,2.46153846153846
"99",9.31,2.55900621118012
"100",9.405,2.54487179487179
"101",9.5,2.6125
"102",9.595,2.475
"103",9.69,2.63975155279503
"104",9.785,2.6358024691358
"105",9.88,2.57317073170732
"106",9.975,2.42682926829268
"107",10.07,2.65454545454545
"108",10.165,2.45398773006135
"109",10.26,2.56
"110",10.355,2.56875
"111",10.45,2.54037267080745
"112",10.545,2.7710843373494
"113",10.64,2.39880952380952
"114",10.735,2.66467065868263
"115",10.83,2.63461538461538
"116",10.925,2.67857142857143
"117",11.02,2.49404761904762
"118",11.115,2.65432098765432
"119",11.21,2.54268292682927
"120",11.305,2.52439024390244
"121",11.4,2.67065868263473
"122",11.495,2.64285714285714
"123",11.59,2.50314465408805
"124",11.685,2.53086419753086
"125",11.78,2.59748427672956
"126",11.875,2.61963190184049
"127",11.97,2.43827160493827
"128",12.065,2.60365853658537
"129",12.16,2.54658385093168
"130",12.255,2.65853658536585
"131",12.35,2.55900621118012
"132",12.445,2.56172839506173
