"","depth_mm","Ti"
"1",0,7.48571428571429
"2",0.095,7.27428571428571
"3",0.19,7.82285714285714
"4",0.285,7.59659090909091
"5",0.38,8.01685393258427
"6",0.475,7.36516853932584
"7",0.57,7.24022346368715
"8",0.665,7.3854748603352
"9",0.76,7.84530386740331
"10",0.855,7.78888888888889
"11",0.95,7.91160220994475
"12",1.045,7.37016574585635
"13",1.14,7.5414364640884
"14",1.235,7.57458563535912
"15",1.33,7.34254143646409
"16",1.425,7.8232044198895
"17",1.52,7.84530386740331
"18",1.615,7.38121546961326
"19",1.71,7.38674033149171
"20",1.805,7.91111111111111
"21",1.9,8.25414364640884
"22",1.995,7.92777777777778
"23",2.09,7.56906077348066
"24",2.185,7.64088397790055
"25",2.28,7.56111111111111
"26",2.375,7.69060773480663
"27",2.47,7.67403314917127
"28",2.565,7.72222222222222
"29",2.66,7.49444444444444
"30",2.755,7.84530386740331
"31",2.85,7.21546961325967
"32",2.945,7.73480662983425
"33",3.04,7.81767955801105
"34",3.135,8.07182320441989
"35",3.23,7.80110497237569
"36",3.325,7.19889502762431
"37",3.42,7.59116022099448
"38",3.515,7.39226519337017
"39",3.61,7.51933701657459
"40",3.705,7.21546961325967
"41",3.8,7.20994475138122
"42",3.895,7.70555555555556
"43",3.99,7.56906077348066
"44",4.085,7.42541436464088
"45",4.18,7.62983425414365
"46",4.275,7.52486187845304
"47",4.37,7.23204419889503
"48",4.465,7.68508287292818
"49",4.56,7.44198895027624
"50",4.655,7.56353591160221
"51",4.75,8.15
"52",4.845,7.65745856353591
"53",4.94,7.29281767955801
"54",5.035,7.23204419889503
"55",5.13,7.85635359116022
"56",5.225,7.35911602209945
"57",5.32,7.24861878453039
"58",5.415,7.65193370165746
"59",5.51,7.50555555555556
"60",5.605,7.18333333333333
"61",5.7,7.59116022099448
"62",5.795,7.66111111111111
"63",5.89,7.66850828729282
"64",5.985,7.76795580110497
"65",6.08,7.92265193370166
"66",6.175,7.60220994475138
"67",6.27,7.51111111111111
"68",6.365,8.16022099447514
"69",6.46,7.21546961325967
"70",6.555,7.49723756906077
"71",6.65,8.04419889502763
"72",6.745,7.49171270718232
"73",6.84,7.59668508287293
"74",6.935,7.96111111111111
"75",7.03,7.23204419889503
"76",7.125,7.34254143646409
"77",7.22,7.73888888888889
"78",7.315,7.70165745856354
"79",7.41,7.15555555555556
"80",7.505,7.27222222222222
"81",7.6,7.84530386740331
"82",7.695,7.45303867403315
"83",7.79,7.65193370165746
"84",7.885,7.49171270718232
"85",7.98,7.83977900552486
"86",8.075,7.64640883977901
"87",8.17,7.2
"88",8.265,7.41988950276243
"89",8.36,7.55801104972376
"90",8.455,7.71823204419889
"91",8.55,7.57541899441341
"92",8.645,7.43333333333333
"93",8.74,7.24309392265193
"94",8.835,7.53888888888889
"95",8.93,7.23204419889503
"96",9.025,7.06629834254144
"97",9.12,6.98333333333333
"98",9.215,7.04972375690608
"99",9.31,7.41988950276243
"100",9.405,7.35555555555556
"101",9.5,7.36111111111111
"102",9.595,7.10055865921788
"103",9.69,7.42541436464088
"104",9.785,7.4475138121547
"105",9.88,7.02209944751381
"106",9.975,7.20441988950276
"107",10.07,7
"108",10.165,6.9171270718232
"109",10.26,6.76111111111111
"110",10.355,6.87777777777778
"111",10.45,7.29834254143646
"112",10.545,7.3
"113",10.64,7.24861878453039
"114",10.735,7.88950276243094
"115",10.83,6.60555555555556
"116",10.925,7.11602209944751
"117",11.02,6.81666666666667
"118",11.115,7
"119",11.21,7.02762430939227
"120",11.305,6.84530386740331
"121",11.4,7.17222222222222
"122",11.495,7.19889502762431
"123",11.59,7.18232044198895
"124",11.685,7.25966850828729
"125",11.78,7.23888888888889
"126",11.875,6.92777777777778
"127",11.97,7.48066298342541
"128",12.065,7.25555555555556
"129",12.16,7.03314917127072
"130",12.255,6.75690607734807
"131",12.35,7.74033149171271
"132",12.445,7.17127071823204
"133",12.54,7.0939226519337
"134",12.635,7.01657458563536
"135",12.73,7.29281767955801
"136",12.825,7.08839779005525
"137",12.92,7.25414364640884
"138",13.015,6.82872928176796
"139",13.11,7.29444444444444
"140",13.205,7.15083798882682
"141",13.3,7.11666666666667
"142",13.395,6.79558011049724
"143",13.49,7.1878453038674
"144",13.585,7.38674033149171
"145",13.68,6.79558011049724
"146",13.775,6.60555555555556
"147",13.87,7.34806629834254
"148",13.965,6.49171270718232
"149",14.06,7
"150",14.155,6.77222222222222
"151",14.25,6.55801104972376
"152",14.345,6.75690607734807
"153",14.44,6.67955801104972
"154",14.535,6.88397790055249
"155",14.63,6.95027624309392
"156",14.725,6.35911602209945
"157",14.82,6.95555555555556
"158",14.915,6.61363636363636
"159",15.01,6.31491712707182
"160",15.105,6.29834254143646
"161",15.2,5.95530726256983
"162",15.295,5.58426966292135
"163",15.39,5.39428571428571
"164",15.485,4.86127167630058
"165",15.58,5.78947368421053
"166",15.675,5.30061349693251
"167",15.77,5.47647058823529
"168",15.865,5.35802469135802
"169",15.96,5.35
"170",16.055,5.03508771929825
"171",16.15,4.95679012345679
"172",16.245,5.09803921568627
"173",16.34,4.57763975155279
"174",16.435,4.90604026845638
"175",16.53,4.35220125786164
"176",16.625,4.19496855345912
"177",16.72,4.23489932885906
"178",16.815,3.98717948717949
"179",16.91,4
"180",17.005,3.83108108108108
"181",17.1,3.77070063694268
"182",17.195,3.90849673202614
"183",17.29,3.83221476510067
"184",17.385,3.40268456375839
"185",17.48,3.73049645390071
"186",17.575,3.27083333333333
"187",17.67,3.12837837837838
"188",17.765,2.8255033557047
"189",17.86,3.14583333333333
"190",17.955,2.80147058823529
"191",18.05,2.69503546099291
"192",18.145,2.45714285714286
"193",18.24,2.66187050359712
"194",18.335,2.74809160305344
"195",18.43,2.24806201550388
"196",18.525,2.38805970149254
"197",18.62,2.38345864661654
"198",18.715,2.4251968503937
"199",18.81,1.97761194029851
"200",18.905,2.1015625
"201",19,2.13740458015267
"202",19.095,1.92592592592593
"203",19.19,1.92307692307692
"204",19.285,2.16666666666667
"205",19.38,1.98540145985401
"206",19.475,2.06976744186047
"207",19.57,2.184
"208",19.665,1.96774193548387
"209",19.76,1.93129770992366
"210",19.855,1.92622950819672
"211",19.95,2.04
"212",20.045,2.03875968992248
"213",20.14,1.890625
"214",20.235,2.09016393442623
"215",20.33,2.11023622047244
"216",20.425,1.97619047619048
"217",20.52,2.1171875
"218",20.615,2.00719424460432
"219",20.71,2.1037037037037
"220",20.805,2.1
"221",20.9,2.13846153846154
"222",20.995,2.3984375
"223",21.09,2.08
"224",21.185,2.15492957746479
"225",21.28,2.29710144927536
"226",21.375,2.28695652173913
"227",21.47,2.21276595744681
"228",21.565,2.41258741258741
"229",21.66,2.2463768115942
"230",21.755,2.37795275590551
"231",21.85,2.33566433566434
"232",21.945,2.72368421052632
"233",22.04,2.22297297297297
"234",22.135,2.66666666666667
"235",22.23,2.37956204379562
"236",22.325,2.64285714285714
"237",22.42,2.62142857142857
"238",22.515,2.16551724137931
"239",22.61,2.37209302325581
"240",22.705,2.12578616352201
"241",22.8,2.34814814814815
"242",22.895,2.57046979865772
"243",22.99,2.59722222222222
"244",23.085,2.46938775510204
"245",23.18,2.61073825503356
"246",23.275,2.39041095890411
"247",23.37,2.65384615384615
"248",23.465,2.54605263157895
"249",23.56,2.5578231292517
"250",23.655,2.9741935483871
"251",23.75,2.90789473684211
"252",23.845,2.8
"253",23.94,2.63354037267081
"254",24.035,2.83870967741935
"255",24.13,2.71523178807947
"256",24.225,2.74
"257",24.32,3.02649006622517
"258",24.415,2.88356164383562
"259",24.51,2.48666666666667
"260",24.605,2.69375
"261",24.7,2.73006134969325
"262",24.795,2.80503144654088
"263",24.89,3.09756097560976
"264",24.985,2.99382716049383
"265",25.08,3.08724832214765
"266",25.175,3.16455696202532
"267",25.27,2.95121951219512
"268",25.365,2.94082840236686
"269",25.46,3.0062893081761
"270",25.555,3.10828025477707
"271",25.65,3.14012738853503
"272",25.745,3.28387096774194
"273",25.84,3.21739130434783
"274",25.935,3.16875
"275",26.03,3.37790697674419
"276",26.125,3.09815950920245
"277",26.22,3.58181818181818
"278",26.315,3.40372670807453
"279",26.41,3.54437869822485
"280",26.505,3.75757575757576
"281",26.6,3.28994082840237
"282",26.695,3.19760479041916
"283",26.79,3.57647058823529
"284",26.885,3.47619047619048
"285",26.98,3.46470588235294
"286",27.075,4.00571428571429
"287",27.17,3.46198830409357
"288",27.265,3.90419161676647
"289",27.36,3.48850574712644
"290",27.455,3.84117647058824
"291",27.55,3.71005917159763
"292",27.645,3.47337278106509
"293",27.74,4.01176470588235
"294",27.835,3.66860465116279
"295",27.93,3.91860465116279
"296",28.025,3.94972067039106
"297",28.12,3.93529411764706
"298",28.215,3.98224852071006
"299",28.31,3.80346820809249
"300",28.405,3.53714285714286
"301",28.5,3.61931818181818
"302",28.595,4.26011560693642
"303",28.69,4.55747126436782
"304",28.785,3.75
"305",28.88,3.7953216374269
"306",28.975,3.73563218390805
"307",29.07,4.05714285714286
"308",29.165,3.95454545454545
"309",29.26,3.89080459770115
"310",29.355,4.29310344827586
"311",29.45,3.84659090909091
"312",29.545,4.36723163841808
"313",29.64,3.97175141242938
"314",29.735,4.19428571428571
"315",29.83,4.27272727272727
"316",29.925,4.21965317919075
"317",30.02,4.10857142857143
"318",30.115,4.4375
"319",30.21,4.3854748603352
"320",30.305,4.48554913294798
"321",30.4,4.36363636363636
"322",30.495,3.95428571428571
"323",30.59,4.64071856287425
"324",30.685,4.4393063583815
"325",30.78,4.36871508379888
"326",30.875,4.65714285714286
"327",30.97,4.6536312849162
"328",31.065,4.52298850574713
"329",31.16,4.32352941176471
"330",31.255,4.46590909090909
"331",31.35,4.54022988505747
"332",31.445,4.40571428571429
"333",31.54,4.6551724137931
"334",31.635,4.42690058479532
"335",31.73,4.33898305084746
"336",31.825,4.69714285714286
"337",31.92,4.51149425287356
"338",32.015,4.31073446327684
"339",32.11,4.21590909090909
"340",32.205,4.74431818181818
"341",32.3,5.25142857142857
"342",32.395,4.47191011235955
"343",32.49,4.71348314606742
"344",32.585,4.40449438202247
"345",32.68,4.5
"346",32.775,4.66666666666667
"347",32.87,4.64739884393064
"348",32.965,4.68156424581006
"349",33.06,4.22346368715084
"350",33.155,4.7183908045977
"351",33.25,4.90340909090909
"352",33.345,4.78888888888889
"353",33.44,4.65730337078652
"354",33.535,4.76271186440678
"355",33.63,4.52808988764045
"356",33.725,4.66477272727273
"357",33.82,4.80225988700565
"358",33.915,4.98882681564246
"359",34.01,4.71823204419889
"360",34.105,4.66101694915254
"361",34.2,4.88700564971751
"362",34.295,4.96648044692737
"363",34.39,5.37430167597765
"364",34.485,5.15168539325843
"365",34.58,5.12994350282486
"366",34.675,4.73595505617978
"367",34.77,5.25280898876404
"368",34.865,4.85875706214689
"369",34.96,4.94972067039106
"370",35.055,5.53370786516854
"371",35.15,5.36516853932584
"372",35.245,5.35754189944134
"373",35.34,5.17977528089888
"374",35.435,5.2816091954023
"375",35.53,5
"376",35.625,5.49438202247191
"377",35.72,5.14525139664805
"378",35.815,5.40449438202247
"379",35.91,5.65730337078652
"380",36.005,5.75280898876404
"381",36.1,5.8876404494382
"382",36.195,5.41111111111111
"383",36.29,5.8121546961326
"384",36.385,5.78453038674033
"385",36.48,5.58011049723757
"386",36.575,5.35795454545455
"387",36.67,5.37640449438202
"388",36.765,5.47457627118644
"389",36.86,5.14525139664805
"390",36.955,6.07303370786517
"391",37.05,5.82872928176796
"392",37.145,5.66111111111111
"393",37.24,6
"394",37.335,5.63888888888889
"395",37.43,5.89887640449438
"396",37.525,6.10555555555556
"397",37.62,6.06703910614525
"398",37.715,5.67613636363636
"399",37.81,5.96648044692737
"400",37.905,6.31843575418994
"401",38,6.20670391061453
"402",38.095,6.28491620111732
"403",38.19,6.32044198895028
"404",38.285,5.92178770949721
"405",38.38,5.93220338983051
"406",38.475,6.01666666666667
"407",38.57,6.2316384180791
"408",38.665,6.42222222222222
"409",38.76,6.26111111111111
"410",38.855,6.38888888888889
"411",38.95,6.80571428571429
"412",39.045,6.12707182320442
"413",39.14,6.43575418994413
"414",39.235,6.39444444444444
"415",39.33,6.73184357541899
"416",39.425,6.97790055248619
"417",39.52,7.02209944751381
"418",39.615,7.02762430939227
"419",39.71,6.30167597765363
"420",39.805,7.03333333333333
"421",39.9,6.39444444444444
"422",39.995,6.63687150837989
"423",40.09,6.23756906077348
"424",40.185,6.74585635359116
"425",40.28,6.91111111111111
"426",40.375,7.32044198895028
"427",40.47,6.96111111111111
"428",40.565,6.92222222222222
"429",40.66,6.37016574585635
"430",40.755,6.48066298342541
"431",40.85,6.65745856353591
"432",40.945,6.73743016759777
"433",41.04,7.12707182320442
"434",41.135,7.37222222222222
"435",41.23,6.66850828729282
"436",41.325,5.98333333333333
"437",41.42,6.77900552486188
"438",41.515,6.47777777777778
"439",41.61,6.95
"440",41.705,6.61666666666667
"441",41.8,6.64444444444444
"442",41.895,6.50828729281768
"443",41.99,6.62222222222222
"444",42.085,6.56353591160221
"445",42.18,7.09944751381216
"446",42.275,6.71823204419889
"447",42.37,6.61878453038674
"448",42.465,6.67597765363128
"449",42.56,6.67777777777778
"450",42.655,6.85
"451",42.75,6.49171270718232
"452",42.845,7.1123595505618
"453",42.94,6.93922651933702
"454",43.035,6.66111111111111
"455",43.13,6.58888888888889
"456",43.225,6.36516853932584
"457",43.32,6.12154696132597
"458",43.415,6.46408839779006
"459",43.51,6.53072625698324
"460",43.605,6.61325966850829
"461",43.7,6.41340782122905
"462",43.795,6.57458563535912
"463",43.89,6.54444444444444
"464",43.985,6.50561797752809
"465",44.08,6.68156424581006
"466",44.175,6.72625698324022
"467",44.27,6.71666666666667
"468",44.365,6.84831460674157
"469",44.46,6.71348314606742
"470",44.555,6.88636363636364
"471",44.65,6.39664804469274
"472",44.745,6.31818181818182
"473",44.84,6.52222222222222
"474",44.935,7.06703910614525
"475",45.03,6.79329608938547
"476",45.125,6.36666666666667
"477",45.22,5.98888888888889
"478",45.315,6.15555555555556
"479",45.41,6.31460674157303
"480",45.505,6.1864406779661
"481",45.6,6.24293785310734
"482",45.695,6.36516853932584
"483",45.79,6.22033898305085
"484",45.885,6.09444444444444
"485",45.98,6.27683615819209
"486",46.075,5.9438202247191
"487",46.17,6.16201117318436
"488",46.265,5.89714285714286
"489",46.36,5.82386363636364
"490",46.455,6.01149425287356
"491",46.55,5.74444444444444
"492",46.645,5.98295454545455
"493",46.74,5.7683615819209
"494",46.835,6.08092485549133
"495",46.93,6.13714285714286
"496",47.025,5.97076023391813
"497",47.12,5.94252873563218
"498",47.215,6.61046511627907
"499",47.31,5.64161849710983
"500",47.405,6.00574712643678
"501",47.5,5.28409090909091
"502",47.595,5.2816091954023
"503",47.69,5.48850574712644
"504",47.785,5.86127167630058
"505",47.88,5.58857142857143
"506",47.975,5.34090909090909
"507",48.07,5.74011299435028
"508",48.165,5.3433734939759
"509",48.26,5.7953216374269
"510",48.355,5.38235294117647
"511",48.45,5.04046242774566
"512",48.545,5.16374269005848
"513",48.64,5.27544910179641
"514",48.735,5
"515",48.83,5.30459770114942
"516",48.925,5.80116959064327
"517",49.02,5.02352941176471
"518",49.115,4.6140350877193
"519",49.21,4.55294117647059
"520",49.305,5.05263157894737
"521",49.4,4.88888888888889
"522",49.495,5.04216867469879
"523",49.59,4.77514792899408
"524",49.685,4.50306748466258
"525",49.78,4.73333333333333
"526",49.875,4.54819277108434
