"","depth_mm","Ca"
"X30",2.9,604.787878787879
"X31",3,636.405857740586
"X32",3.1,679.416666666667
"X33",3.2,700.016806722689
"X34",3.3,699.768924302789
"X35",3.4,698.6
"X36",3.5,688.359375
"X37",3.6,696.06640625
"X38",3.7,702.322957198444
"X39",3.8,692.553846153846
"X40",3.9,709.280769230769
"X41",4,685.216730038023
"X42",4.1,672.122222222222
"X43",4.2,688.366666666667
"X44",4.3,691.951851851852
"X45",4.4,692.077777777778
"X46",4.5,695.611111111111
"X47",4.6,714.925925925926
"X48",4.7,710.492592592593
"X49",4.8,715.855555555556
"X50",4.9,719.681481481481
"X51",5,705.988888888889
"X52",5.1,696.551851851852
"X53",5.2,675.401486988848
"X54",5.3,670.87037037037
"X55",5.4,643.396296296296
"X56",5.5,653.218518518519
"X57",5.6,645.451851851852
"X58",5.7,593.014814814815
"X59",5.8,595.674074074074
"X60",5.9,626.762081784387
"X61",6,599.907407407407
"X62",6.1,593.550185873606
"X63",6.2,617.714814814815
"X64",6.3,614.481481481482
"X65",6.4,621.296296296296
"X66",6.5,645.362962962963
"X67",6.6,643.148148148148
"X68",6.7,609.014814814815
"X69",6.8,604.277777777778
"X70",6.9,600.366666666667
"X71",7,588
"X72",7.1,596.57037037037
"X73",7.2,571.8
"X74",7.3,564.511111111111
"X75",7.4,579.451851851852
"X76",7.5,591.114814814815
"X77",7.6,601.540740740741
"X78",7.7,632.359259259259
"X79",7.8,660.155555555556
"X80",7.9,671.185185185185
"X81",8,625.468401486989
"X82",8.1,592.122222222222
"X83",8.2,602.22962962963
"X84",8.3,603.748148148148
"X85",8.4,614.092592592593
"X86",8.5,612.459259259259
"X87",8.6,614.351851851852
"X88",8.7,630.02962962963
"X89",8.8,650.881481481482
"X90",8.9,671.144444444444
"X91",9,674.077777777778
"X92",9.1,682.088888888889
"X93",9.2,683.251851851852
"X94",9.3,692.92962962963
"X95",9.4,693.844444444444
"X96",9.5,690.162962962963
"X97",9.6,691.248148148148
"X98",9.7,687.844444444444
"X99",9.8,695.066666666667
"X100",9.9,702.666666666667
"X101",10,688.122222222222
"X102",10.1,683.681481481481
"X103",10.2,679.266666666667
"X104",10.3,666.033333333333
"X105",10.4,671.866666666667
"X106",10.5,675.488888888889
"X107",10.6,684.511111111111
"X108",10.7,688.903703703704
"X109",10.8,682.818518518519
"X110",10.9,690.314814814815
"X111",11,682.425925925926
"X112",11.1,694.67037037037
"X113",11.2,685.088888888889
"X114",11.3,690.381481481482
"X115",11.4,690.481481481482
"X116",11.5,693.825925925926
"X117",11.6,686.362962962963
"X118",11.7,670.718518518519
"X119",11.8,662.67037037037
"X120",11.9,675.351851851852
"X121",12,663.433333333333
"X122",12.1,650.681481481481
"X123",12.2,643.844444444444
"X124",12.3,611.87037037037
"X125",12.4,593.085185185185
"X126",12.5,575.981481481482
"X127",12.6,557.222222222222
"X128",12.7,488.440740740741
"X129",12.8,426.405204460967
"X130",12.9,441.460966542751
"X131",13,500.898496240602
"X132",13.1,569.421052631579
"X133",13.2,627.329457364341
"X134",13.3,656.531835205992
"X135",13.4,697.348148148148
"X136",13.5,703.607407407407
"X137",13.6,717.537037037037
"X138",13.7,722.762962962963
"X139",13.8,730.096296296296
"X140",13.9,743.718518518519
"X141",14,733.662962962963
"X142",14.1,731.525925925926
"X143",14.2,741.633333333333
"X144",14.3,742.892592592593
"X145",14.4,737.248148148148
"X146",14.5,748.437037037037
"X147",14.6,764.859259259259
"X148",14.7,740.685185185185
"X149",14.8,733.414814814815
"X150",14.9,742.125925925926
"X151",15,725.685185185185
"X152",15.1,734.774074074074
"X153",15.2,733.522222222222
"X154",15.3,728.385185185185
"X155",15.4,722.62962962963
"X156",15.5,724.1
"X157",15.6,733.044444444444
"X158",15.7,714.281481481481
"X159",15.8,713.337037037037
"X160",15.9,735.851851851852
"X161",16,726.185185185185
"X162",16.1,731.977777777778
"X163",16.2,743.144444444444
"X164",16.3,737.666666666667
"X165",16.4,732.540740740741
"X166",16.5,741.248148148148
"X167",16.6,748.67037037037
"X168",16.7,736.177777777778
"X169",16.8,744.766666666667
"X170",16.9,741.959259259259
"X171",17,703.048148148148
"X172",17.1,715.603703703704
"X173",17.2,704.581481481481
"X174",17.3,699.648148148148
"X175",17.4,701.051851851852
"X176",17.5,711.233333333333
"X177",17.6,711.644444444444
"X178",17.7,703.27037037037
"X179",17.8,714.462962962963
"X180",17.9,723.2
"X181",18,703.859259259259
"X182",18.1,700.807407407407
"X183",18.2,704.959259259259
"X184",18.3,699.244444444444
"X185",18.4,705.6
"X186",18.5,722.57037037037
"X187",18.6,723.377777777778
"X188",18.7,721.766666666667
"X189",18.8,724.859259259259
"X190",18.9,728.081481481481
"X191",19,732.3
"X192",19.1,744.066666666667
"X193",19.2,726.437037037037
"X194",19.3,726.503703703704
"X195",19.4,734.644444444444
"X196",19.5,727.707407407407
"X197",19.6,739.72962962963
"X198",19.7,729.214814814815
"X199",19.8,725.148148148148
"X200",19.9,740.333333333333
"X201",20,723.651851851852
"X202",20.1,726.744444444444
"X203",20.2,730.122222222222
"X204",20.3,725.944444444444
"X205",20.4,728.362962962963
"X206",20.5,734.703703703704
"X207",20.6,735.407407407407
"X208",20.7,728.359259259259
"X209",20.8,726.359259259259
"X210",20.9,731.722222222222
"X211",21,730.755555555556
"X212",21.1,735.822222222222
"X213",21.2,724.155555555556
