"","depth_mm","Fe"
"X30",2.9,36.0952380952381
"X31",3,30.020920502092
"X32",3.1,25.3556485355649
"X33",3.2,17.6302521008403
"X34",3.3,17.568
"X35",3.4,18.2086614173228
"X36",3.5,24.03515625
"X37",3.6,26.3254901960784
"X38",3.7,18.2529182879377
"X39",3.8,18.8030888030888
"X40",3.9,17.8961538461538
"X41",4,17.7557251908397
"X42",4.1,21.9330855018587
"X43",4.2,20.0669144981413
"X44",4.3,19.4666666666667
"X45",4.4,17.6505576208178
"X46",4.5,16.3457249070632
"X47",4.6,17.1044776119403
"X48",4.7,20.8587360594796
"X49",4.8,17.4814814814815
"X50",4.9,16.6579925650558
"X51",5,16.4831460674157
"X52",5.1,17.1518518518519
"X53",5.2,22.7769516728625
"X54",5.3,34.639405204461
"X55",5.4,45.7259259259259
"X56",5.5,44.3159851301115
"X57",5.6,49.1082089552239
"X58",5.7,58.4684014869888
"X59",5.8,50.5799256505576
"X60",5.9,46.7732342007435
"X61",6,52.9333333333333
"X62",6.1,57.4738805970149
"X63",6.2,49.1074074074074
"X64",6.3,43.7185185185185
"X65",6.4,41.5037313432836
"X66",6.5,36.7159090909091
"X67",6.6,38.5111111111111
"X68",6.7,38.662962962963
"X69",6.8,39.8364312267658
"X70",6.9,40.9179104477612
"X71",7,46.4037037037037
"X72",7.1,45.9814814814815
"X73",7.2,51.2649253731343
"X74",7.3,51.5814814814815
"X75",7.4,48.8996282527881
"X76",7.5,47.037037037037
"X77",7.6,45.0743494423792
"X78",7.7,34.137037037037
"X79",7.8,30.7111111111111
"X80",7.9,33.0703703703704
"X81",8,38.817843866171
"X82",8.1,53.1888888888889
"X83",8.2,51.3
"X84",8.3,43.6444444444444
"X85",8.4,40.8666666666667
"X86",8.5,41.9814814814815
"X87",8.6,41.837037037037
"X88",8.7,35.4444444444444
"X89",8.8,27.3296296296296
"X90",8.9,21.3037037037037
"X91",9,18.5
"X92",9.1,18.4259259259259
"X93",9.2,17.996282527881
"X94",9.3,17.7740740740741
"X95",9.4,17.4518518518519
"X96",9.5,16.5222222222222
"X97",9.6,17.3851851851852
"X98",9.7,17.8666666666667
"X99",9.8,17.4407407407407
"X100",9.9,18.5539033457249
"X101",10,19.8
"X102",10.1,20.5037037037037
"X103",10.2,20.8333333333333
"X104",10.3,20.2814814814815
"X105",10.4,20.4148148148148
"X106",10.5,19.1037037037037
"X107",10.6,18.5962962962963
"X108",10.7,17.4721189591078
"X109",10.8,17.4888888888889
"X110",10.9,17.182156133829
"X111",11,16.3888888888889
"X112",11.1,15.837037037037
"X113",11.2,15.4148148148148
"X114",11.3,15.7407407407407
"X115",11.4,16.3977695167286
"X116",11.5,16.6740740740741
"X117",11.6,20.6074074074074
"X118",11.7,21.0481481481481
"X119",11.8,24.0407407407407
"X120",11.9,24.4703703703704
"X121",12,26.3259259259259
"X122",12.1,29.0259259259259
"X123",12.2,32.4185185185185
"X124",12.3,42.637037037037
"X125",12.4,43.8666666666667
"X126",12.5,45.8222222222222
"X127",12.6,57.1888888888889
"X128",12.7,76.5518518518519
"X129",12.8,85.0260223048327
"X130",12.9,83.6988847583643
"X131",13,71.1992481203008
"X132",13.1,64.0836501901141
"X133",13.2,43.8023255813954
"X134",13.3,30.7078651685393
"X135",13.4,19.9330855018587
"X136",13.5,18.7918215613383
"X137",13.6,18.546468401487
"X138",13.7,14.8740740740741
"X139",13.8,13.542750929368
"X140",13.9,12.3183520599251
"X141",14,12.4014869888476
"X142",14.1,13.3208955223881
"X143",14.2,14.4703703703704
"X144",14.3,13.3731343283582
"X145",14.4,13.9216417910448
"X146",14.5,12.9185185185185
"X147",14.6,12.6716417910448
"X148",14.7,12.3782771535581
"X149",14.8,13.4868913857678
"X150",14.9,13.4185185185185
"X151",15,13.3925925925926
"X152",15.1,12.5692883895131
"X153",15.2,12.5917602996255
"X154",15.3,12.0783582089552
"X155",15.4,12.2379182156134
"X156",15.5,13.6333333333333
"X157",15.6,14.5799256505576
"X158",15.7,13.4925373134328
"X159",15.8,12.6816479400749
"X160",15.9,13.1278195488722
"X161",16,13.7434944237918
"X162",16.1,13.1722846441948
"X163",16.2,12.7537313432836
"X164",16.3,12.7584905660377
"X165",16.4,12.8777777777778
"X166",16.5,13.0631970260223
"X167",16.6,13.1679104477612
"X168",16.7,12.6481481481481
"X169",16.8,13.5539033457249
"X170",16.9,15.2444444444444
"X171",17,16.7703703703704
"X172",17.1,16.8
"X173",17.2,17.2703703703704
"X174",17.3,18.9666666666667
"X175",17.4,19.2490706319703
"X176",17.5,17.0740740740741
"X177",17.6,18.262962962963
"X178",17.7,16.7333333333333
"X179",17.8,15.4646840148699
"X180",17.9,16.3470149253731
"X181",18,15.9851851851852
"X182",18.1,16.5407407407407
"X183",18.2,18.1703703703704
"X184",18.3,20.0407407407407
"X185",18.4,16.2118959107807
"X186",18.5,14.8814814814815
"X187",18.6,14.7360594795539
"X188",18.7,15.6148148148148
"X189",18.8,15.7481481481481
"X190",18.9,14.7444444444444
"X191",19,14.262962962963
"X192",19.1,14
"X193",19.2,13.1814814814815
"X194",19.3,13.1777777777778
"X195",19.4,12.5333333333333
"X196",19.5,11.9333333333333
"X197",19.6,12.631970260223
"X198",19.7,11.9444444444444
"X199",19.8,11.3777777777778
"X200",19.9,12.1555555555556
"X201",20,12.5074074074074
"X202",20.1,12.4555555555556
"X203",20.2,12.2490706319703
"X204",20.3,11.5518518518519
"X205",20.4,11.562962962963
"X206",20.5,11.7555555555556
"X207",20.6,12.4518518518519
"X208",20.7,12.737037037037
"X209",20.8,12.3481481481481
"X210",20.9,13.1598513011152
"X211",21,14.1703703703704
"X212",21.1,14.6777777777778
"X213",21.2,14.7185185185185
"X214",21.3,16.4148148148148
"X215",21.4,15.7185185185185
"X216",21.5,16.3977695167286
"X217",21.6,15.7881040892193
"X218",21.7,15.4813432835821
