"","depth_mm","K"
"X30",2.9,11.6536796536797
"X31",3,10.5042016806723
"X32",3.1,9.75
"X33",3.2,8.70588235294118
"X34",3.3,8.53386454183267
"X35",3.4,8.54901960784314
"X36",3.5,8.97254901960784
"X37",3.6,8.65625
"X38",3.7,8.33984375
"X39",3.8,8.35384615384615
"X40",3.9,8.95366795366795
"X41",4,8.3574144486692
"X42",4.1,9.31851851851852
"X43",4.2,9.0037037037037
"X44",4.3,8.82222222222222
"X45",4.4,8.07407407407407
"X46",4.5,8.05185185185185
"X47",4.6,8.24814814814815
"X48",4.7,7.81111111111111
"X49",4.8,8.05204460966543
"X50",4.9,8.04832713754647
"X51",5,8.61338289962825
"X52",5.1,8.21641791044776
"X53",5.2,9.63197026022305
"X54",5.3,10.0481481481481
"X55",5.4,10.6481481481481
"X56",5.5,10.9037037037037
"X57",5.6,11.3592592592593
"X58",5.7,11.9111111111111
"X59",5.8,11.4703703703704
"X60",5.9,11.8550185873606
"X61",6,12.2222222222222
"X62",6.1,11.9250936329588
"X63",6.2,11.4037037037037
"X64",6.3,11.7592592592593
"X65",6.4,10.9296296296296
"X66",6.5,10.1851851851852
"X67",6.6,10.5222222222222
"X68",6.7,10.762962962963
"X69",6.8,11.3925925925926
"X70",6.9,11.9962962962963
"X71",7,12.8921933085502
"X72",7.1,12.937037037037
"X73",7.2,13.6222222222222
"X74",7.3,13.3740740740741
"X75",7.4,13.3074074074074
"X76",7.5,13.9814126394052
"X77",7.6,13.5222222222222
"X78",7.7,11.0481481481481
"X79",7.8,10.6777777777778
"X80",7.9,11.2333333333333
"X81",8,11.2835820895522
"X82",8.1,13.2777777777778
"X83",8.2,12.7925925925926
"X84",8.3,12.2407407407407
"X85",8.4,12.1962962962963
"X86",8.5,12.737037037037
"X87",8.6,12.4
"X88",8.7,11.3851851851852
"X89",8.8,10.3518518518519
"X90",8.9,10.1333333333333
"X91",9,9.07777777777778
"X92",9.1,9.44444444444444
"X93",9.2,9.46296296296296
"X94",9.3,9.6037037037037
"X95",9.4,9.5
"X96",9.5,9.77407407407407
"X97",9.6,9.23333333333333
"X98",9.7,9.40740740740741
"X99",9.8,9.72222222222222
"X100",9.9,10.0814814814815
"X101",10,10.0148148148148
"X102",10.1,10.7518518518519
"X103",10.2,10.6444444444444
"X104",10.3,10.5851851851852
"X105",10.4,10.5777777777778
"X106",10.5,10.262962962963
"X107",10.6,9.97777777777778
"X108",10.7,10.0481481481481
"X109",10.8,9.61851851851852
"X110",10.9,9.69259259259259
"X111",11,9.45185185185185
"X112",11.1,9.33703703703704
"X113",11.2,9.14444444444444
"X114",11.3,9.45185185185185
"X115",11.4,9.54444444444444
"X116",11.5,9.36296296296296
"X117",11.6,9.89259259259259
"X118",11.7,9.64814814814815
"X119",11.8,10.4074074074074
"X120",11.9,11
"X121",12,10.8074074074074
"X122",12.1,11.4666666666667
"X123",12.2,11.5777777777778
"X124",12.3,13.2111111111111
"X125",12.4,13.5777777777778
"X126",12.5,13.0444444444444
"X127",12.6,14.1259259259259
"X128",12.7,16.537037037037
"X129",12.8,17.7472118959108
"X130",12.9,18.3568773234201
"X131",13,15.1729323308271
"X132",13.1,12.9887218045113
"X133",13.2,10.2713178294574
"X134",13.3,9.08239700374532
"X135",13.4,8.28518518518518
"X136",13.5,7.97014925373134
"X137",13.6,7.58518518518519
"X138",13.7,7.3037037037037
"X139",13.8,7.27985074626866
"X140",13.9,7.20740740740741
"X141",14,7.08148148148148
"X142",14.1,7.44074074074074
"X143",14.2,7.27137546468401
"X144",14.3,7.08518518518519
"X145",14.4,7.47777777777778
"X146",14.5,7.30740740740741
"X147",14.6,7.42962962962963
"X148",14.7,6.78518518518518
"X149",14.8,7.28358208955224
"X150",14.9,7.11111111111111
"X151",15,6.88148148148148
"X152",15.1,7.17777777777778
"X153",15.2,7.41111111111111
"X154",15.3,7.26765799256506
"X155",15.4,6.96282527881041
"X156",15.5,7.72962962962963
"X157",15.6,7.39776951672862
"X158",15.7,7.2
"X159",15.8,7.00740740740741
"X160",15.9,7.55925925925926
"X161",16,7.14814814814815
"X162",16.1,7.11851851851852
"X163",16.2,7.20740740740741
"X164",16.3,6.92565055762082
"X165",16.4,7.41481481481481
"X166",16.5,7.33703703703704
"X167",16.6,7.70149253731343
"X168",16.7,7.37407407407407
"X169",16.8,7.67407407407407
"X170",16.9,7.65555555555556
"X171",17,8.14869888475836
"X172",17.1,8.49442379182156
"X173",17.2,8.45555555555556
"X174",17.3,8.80740740740741
"X175",17.4,9.06296296296296
"X176",17.5,8.28148148148148
"X177",17.6,8.24074074074074
"X178",17.7,8.6037037037037
"X179",17.8,8.17407407407407
"X180",17.9,8.62592592592593
"X181",18,8.35555555555556
