"","depth_mm","Mn"
"X30",2.9,5.04366812227074
"X31",3,4.92207792207792
"X32",3.1,4.89958158995816
"X33",3.2,5.26694915254237
"X34",3.3,5.01619433198381
"X35",3.4,4.8015873015873
"X36",3.5,4.8406374501992
"X37",3.6,5.112
"X38",3.7,5.01181102362205
"X39",3.8,4.85214007782101
"X40",3.9,4.60852713178295
"X41",4,4.76045627376426
"X42",4.1,4.80075187969925
"X43",4.2,5.05992509363296
"X44",4.3,5.29477611940298
"X45",4.4,5.39179104477612
"X46",4.5,5.06716417910448
"X47",4.6,5.46666666666667
"X48",4.7,5.19402985074627
"X49",4.8,4.92857142857143
"X50",4.9,4.97761194029851
"X51",5,5.3134328358209
"X52",5.1,5.83895131086142
"X53",5.2,6.33712121212121
"X54",5.3,6.91011235955056
"X55",5.4,9.30111524163569
"X56",5.5,7.68421052631579
"X57",5.6,7.47211895910781
"X58",5.7,7.33703703703704
"X59",5.8,7.95522388059702
"X60",5.9,5.48106060606061
"X61",6,6.19391634980989
"X62",6.1,8.2851711026616
"X63",6.2,6.04150943396226
"X64",6.3,5.84586466165414
"X65",6.4,5.03409090909091
"X66",6.5,5.25650557620818
"X67",6.6,5.71910112359551
"X68",6.7,5.31835205992509
"X69",6.8,4.73207547169811
"X70",6.9,5.72284644194757
"X71",7,5.71268656716418
"X72",7.1,5.26996197718631
"X73",7.2,6.93893129770992
"X74",7.3,6.96981132075472
"X75",7.4,7.73106060606061
"X76",7.5,7.95833333333333
"X77",7.6,7.29962546816479
"X78",7.7,5.26136363636364
"X79",7.8,5.40684410646388
"X80",7.9,5.11320754716981
"X81",8,6
"X82",8.1,9.0631970260223
"X83",8.2,7.09259259259259
"X84",8.3,5.84586466165414
"X85",8.4,6.05204460966543
"X86",8.5,6.25185185185185
"X87",8.6,6.52611940298507
"X88",8.7,5.98518518518518
"X89",8.8,5.65555555555556
"X90",8.9,5.37777777777778
"X91",9,5.1865671641791
"X92",9.1,5.27509293680297
"X93",9.2,5.04460966542751
"X94",9.3,5.37037037037037
"X95",9.4,5.27238805970149
"X96",9.5,5.42592592592593
"X97",9.6,5.16296296296296
"X98",9.7,5.17407407407407
"X99",9.8,5.43283582089552
"X100",9.9,5.53558052434457
"X101",10,5.27137546468401
"X102",10.1,5.47211895910781
"X103",10.2,5.55056179775281
"X104",10.3,5.24907063197026
"X105",10.4,5.57089552238806
"X106",10.5,5.45149253731343
"X107",10.6,5.37174721189591
"X108",10.7,5.48880597014925
"X109",10.8,5.53932584269663
"X110",10.9,5.64179104477612
"X111",11,5.35338345864662
"X112",11.1,5.30111524163569
"X113",11.2,5.38059701492537
"X114",11.3,5.30223880597015
"X115",11.4,5.50740740740741
"X116",11.5,5.64312267657993
"X117",11.6,5.37174721189591
"X118",11.7,5.22097378277154
"X119",11.8,5.58148148148148
"X120",11.9,5.85873605947955
"X121",12,5.71268656716418
"X122",12.1,6.42537313432836
"X123",12.2,6.15185185185185
"X124",12.3,7.87360594795539
"X125",12.4,6.30943396226415
"X126",12.5,6.3955223880597
"X127",12.6,6.8364312267658
"X128",12.7,9.22304832713755
"X129",12.8,12.1835205992509
"X130",12.9,10.0526315789474
"X131",13,8.90151515151515
"X132",13.1,7.51330798479087
"X133",13.2,6
"X134",13.3,5.85606060606061
"X135",13.4,5.07865168539326
"X136",13.5,5.07806691449814
"X137",13.6,6.03409090909091
"X138",13.7,5.17602996254682
"X139",13.8,4.9811320754717
"X140",13.9,4.43866171003717
"X141",14,4.61048689138577
"X142",14.1,4.77153558052434
"X143",14.2,4.63533834586466
"X144",14.3,4.68773234200744
"X145",14.4,4.61567164179105
"X146",14.5,4.78438661710037
"X147",14.6,4.54477611940298
"X148",14.7,4.67537313432836
"X149",14.8,4.78438661710037
"X150",14.9,4.83834586466165
"X151",15,4.58052434456929
"X152",15.1,4.62264150943396
"X153",15.2,4.41603053435114
"X154",15.3,5.36259541984733
"X155",15.4,5.65168539325843
"X156",15.5,4.58801498127341
"X157",15.6,4.51492537313433
"X158",15.7,4.26515151515152
"X159",15.8,4.26053639846743
"X160",15.9,4.25563909774436
"X161",16,4.4106463878327
"X162",16.1,4.61450381679389
"X163",16.2,4.43346007604563
"X164",16.3,4.34848484848485
"X165",16.4,4.52851711026616
"X166",16.5,4.53030303030303
"X167",16.6,4.59022556390977
"X168",16.7,4.33082706766917
"X169",16.8,4.47191011235955
"X170",16.9,8.80524344569288
"X171",17,11.3320754716981
"X172",17.1,5.53787878787879
"X173",17.2,5.14232209737828
"X174",17.3,6.74045801526718
"X175",17.4,8.60377358490566
"X176",17.5,5.73764258555133
"X177",17.6,4.98461538461538
"X178",17.7,4.57303370786517
"X179",17.8,4.46067415730337
"X180",17.9,4.75094339622641
"X181",18,4.66044776119403
"X182",18.1,4.6780303030303
"X183",18.2,4.96590909090909
"X184",18.3,5.99626865671642
"X185",18.4,6.92565055762082
"X186",18.5,5.1390977443609
"X187",18.6,6.37078651685393
"X188",18.7,5.72284644194757
"X189",18.8,5.62081784386617
"X190",18.9,5.27509293680297
"X191",19,5.12222222222222
"X192",19.1,5.39259259259259
"X193",19.2,4.95910780669145
"X194",19.3,5.22388059701493
"X195",19.4,5.12686567164179
"X196",19.5,4.99256505576208
"X197",19.6,5.10074626865672
"X198",19.7,5.14179104477612
"X199",19.8,5.05970149253731
"X200",19.9,5.11194029850746
"X201",20,4.86988847583643
"X202",20.1,5.05223880597015
"X203",20.2,5.1003717472119
"X204",20.3,5.01119402985075
"X205",20.4,4.94339622641509
"X206",20.5,4.82330827067669
"X207",20.6,4.8996282527881
"X208",20.7,5.16541353383459
"X209",20.8,5.07063197026022
"X210",20.9,4.90706319702602
"X211",21,5.0187969924812
"X212",21.1,5.09701492537313
"X213",21.2,4.80075187969925
"X214",21.3,5.04511278195489
"X215",21.4,5.5410447761194
"X216",21.5,5.04119850187266
"X217",21.6,5.07434944237918
"X218",21.7,4.94795539033457
"X219",21.8,5.08396946564886
"X220",21.9,4.72014925373134
"X221",22,4.91111111111111
"X222",22.1,5.11895910780669
"X223",22.2,5.14126394052045
"X224",22.3,5.12267657992565
"X225",22.4,4.86194029850746
"X226",22.5,4.96616541353383
"X227",22.6,5.07089552238806
"X228",22.7,5.23595505617978
"X229",22.8,5.59701492537313
"X230",22.9,5.28996282527881
"X231",23,5.06367041198502
"X232",23.1,5.27238805970149
"X233",23.2,5.36603773584906
"X234",23.3,5.04135338345865
"X235",23.4,5.18888888888889
"X236",23.5,5.11940298507463
"X237",23.6,5.31460674157303
"X238",23.7,4.74074074074074
"X239",23.8,5.11895910780669
"X240",23.9,5.27715355805243
"X241",24,5.15985130111524
"X242",24.1,5.13754646840149
"X243",24.2,5.23134328358209
"X244",24.3,4.93283582089552
"X245",24.4,4.95131086142322
"X246",24.5,4.95522388059702
"X247",24.6,5.15355805243446
"X248",24.7,4.97752808988764
"X249",24.8,4.99622641509434
"X250",24.9,5.40823970037453
"X251",25,5.32342007434944
"X252",25.1,5.33582089552239
"X253",25.2,5.12359550561798
"X254",25.3,5.17602996254682
"X255",25.4,5.61278195488722
"X256",25.5,5.36842105263158
"X257",25.6,5.07894736842105
"X258",25.7,4.94776119402985
"X259",25.8,5.52416356877323
"X260",25.9,5.37313432835821
"X261",26,5.02631578947368
"X262",26.1,5.50375939849624
"X263",26.2,5.04166666666667
"X264",26.3,5.0185873605948
"X265",26.4,4.9063670411985
"X266",26.5,5.02611940298507
"X267",26.6,4.87313432835821
"X268",26.7,4.63670411985019
"X269",26.8,4.64444444444444
"X270",26.9,4.7680608365019
"X271",27,4.9063670411985
"X272",27.1,4.71535580524345
"X273",27.2,4.98859315589354
"X274",27.3,5.01498127340824
"X275",27.4,4.71320754716981
"X276",27.5,5.01140684410646
"X277",27.6,4.71212121212121
"X278",27.7,4.69172932330827
"X279",27.8,4.68796992481203
"X280",27.9,4.71161048689139
"X281",28,4.78409090909091
"X282",28.1,4.98867924528302
"X283",28.2,4.56439393939394
"X284",28.3,4.55597014925373
"X285",28.4,4.62172284644195
"X286",28.5,4.23863636363636
"X287",28.6,4.40074906367041
"X288",28.7,4.58955223880597
"X289",28.8,4.29588014981273
"X290",28.9,4.47744360902256
"X291",29,4.51301115241636
"X292",29.1,4.4828897338403
"X293",29.2,4.97318007662835
"X294",29.3,5.1030534351145
"X295",29.4,4.91011235955056
"X296",29.5,5.47148288973384
"X297",29.6,5.82156133828996
"X298",29.7,8.31060606060606
"X299",29.8,8.35315985130111
"X300",29.9,6.9063670411985
"X301",30,7.69144981412639
"X302",30.1,5.59622641509434
