"","depth_mm","Si"
"X30",2.9,2.2807881773399
"X31",3,2.36180904522613
"X32",3.1,2.24509803921569
"X33",3.2,2.29326923076923
"X34",3.3,2.26442307692308
"X35",3.4,2.2027027027027
"X36",3.5,2.18181818181818
"X37",3.6,2.31162790697674
"X38",3.7,2.25352112676056
"X39",3.8,2.24770642201835
"X40",3.9,2.24669603524229
"X41",4,2.20547945205479
"X42",4.1,2.21739130434783
"X43",4.2,2.22171945701357
"X44",4.3,2.27350427350427
"X45",4.4,2.16239316239316
"X46",4.5,2.42290748898678
"X47",4.6,2.02690582959641
"X48",4.7,2.23148148148148
"X49",4.8,2.17647058823529
"X50",4.9,2.31081081081081
"X51",5,2.25438596491228
"X52",5.1,2.17982456140351
"X53",5.2,2.26785714285714
"X54",5.3,2.56502242152466
"X55",5.4,2.27477477477477
"X56",5.5,2.4957264957265
"X57",5.6,2.57964601769911
"X58",5.7,2.45106382978723
"X59",5.8,2.52863436123348
"X60",5.9,2.43589743589744
"X61",6,2.56198347107438
"X62",6.1,2.3375
"X63",6.2,2.37662337662338
"X64",6.3,2.43514644351464
"X65",6.4,2.44843049327354
"X66",6.5,2.36725663716814
"X67",6.6,2.3531914893617
"X68",6.7,2.45021645021645
"X69",6.8,2.35744680851064
"X70",6.9,2.44017094017094
"X71",7,2.56962025316456
"X72",7.1,2.69709543568465
"X73",7.2,2.40434782608696
"X74",7.3,2.4468085106383
"X75",7.4,2.4549356223176
"X76",7.5,2.5793991416309
"X77",7.6,2.44166666666667
"X78",7.7,2.43722943722944
"X79",7.8,2.45564516129032
"X80",7.9,2.36401673640167
"X81",8,2.37719298245614
"X82",8.1,2.44444444444444
"X83",8.2,2.52
"X84",8.3,2.4273127753304
"X85",8.4,2.40948275862069
"X86",8.5,2.46320346320346
"X87",8.6,2.37872340425532
"X88",8.7,2.17872340425532
"X89",8.8,2.41772151898734
"X90",8.9,2.24017467248908
"X91",9,2.18106995884774
"X92",9.1,2.22844827586207
"X93",9.2,2.31944444444444
"X94",9.3,2.33191489361702
"X95",9.4,2.28
"X96",9.5,2.21929824561404
"X97",9.6,2.26315789473684
"X98",9.7,2.35833333333333
"X99",9.8,2.29184549356223
"X100",9.9,2.31120331950207
"X101",10,2.11160714285714
"X102",10.1,2.40495867768595
"X103",10.2,2.41949152542373
"X104",10.3,2.09777777777778
"X105",10.4,2.28151260504202
"X106",10.5,2.21834061135371
"X107",10.6,2.22881355932203
"X108",10.7,2.25438596491228
"X109",10.8,2.09871244635193
"X110",10.9,2.19574468085106
"X111",11,2.17948717948718
"X112",11.1,2.2212389380531
"X113",11.2,2.20524017467249
"X114",11.3,2.20689655172414
"X115",11.4,2.19480519480519
"X116",11.5,2.23478260869565
"X117",11.6,2.44052863436123
"X118",11.7,2.32627118644068
"X119",11.8,2.29957805907173
"X120",11.9,2.39130434782609
"X121",12,2.4375
"X122",12.1,2.37179487179487
"X123",12.2,2.58474576271186
"X124",12.3,2.57446808510638
"X125",12.4,2.43514644351464
"X126",12.5,2.60606060606061
"X127",12.6,2.56410256410256
"X128",12.7,2.72340425531915
"X129",12.8,2.8780487804878
"X130",12.9,2.83400809716599
"X131",13,2.67965367965368
"X132",13.1,2.63821138211382
"X133",13.2,2.47511312217195
"X134",13.3,2.29565217391304
"X135",13.4,2.25
"X136",13.5,2.13559322033898
"X137",13.6,2.17796610169492
"X138",13.7,2.19298245614035
"X139",13.8,2.20547945205479
"X140",13.9,2.27312775330396
"X141",14,2.12916666666667
"X142",14.1,2.17695473251029
"X143",14.2,2.16593886462882
"X144",14.3,2.22173913043478
"X145",14.4,2.18264840182648
"X146",14.5,2.20888888888889
"X147",14.6,2.23788546255507
"X148",14.7,2.15929203539823
"X149",14.8,2.17351598173516
"X150",14.9,2.09442060085837
"X151",15,2.24886877828054
"X152",15.1,2.09128630705394
"X153",15.2,2.18534482758621
"X154",15.3,2.33333333333333
"X155",15.4,2.25217391304348
"X156",15.5,2.20264317180617
"X157",15.6,2.35555555555556
"X158",15.7,2.30666666666667
"X159",15.8,2.12931034482759
"X160",15.9,2.3982683982684
"X161",16,2.15611814345992
"X162",16.1,2.22510822510823
"X163",16.2,2.20253164556962
"X164",16.3,2.19555555555556
"X165",16.4,2.20524017467249
"X166",16.5,2.17117117117117
"X167",16.6,2.19246861924686
