"","depth_mm","Ca"
"X1",7.5,1693.6050955414
"X2",7.6,1697.55414012739
"X3",7.7,1736.78343949045
"X4",7.8,1697.70700636943
"X5",7.9,1679.31210191083
"X6",8,1699.97452229299
"X7",8.1,1655.64968152866
"X8",8.2,1637.31847133758
"X9",8.3,1654.68152866242
"X10",8.4,1627.14649681529
"X11",8.5,1615.12738853503
"X12",8.6,1557.22292993631
"X13",8.7,1530.52229299363
"X14",8.8,1478.55414012739
"X15",8.9,1487.24203821656
"X16",9,1440.90445859873
"X17",9.1,1471.15923566879
"X18",9.2,1465.14012738854
"X19",9.3,1524.05732484076
"X20",9.4,1596.02547770701
"X21",9.5,1603.32484076433
"X22",9.6,1649.35668789809
"X23",9.7,1696.23566878981
"X24",9.8,1745.29936305732
"X25",9.9,1878.20382165605
"X26",10,1928.42675159236
"X27",10.1,2013.50318471338
"X28",10.2,2144.15286624204
"X29",10.3,2222.62420382166
"X30",10.4,2246.0127388535
"X31",10.5,2254.73248407643
"X32",10.6,2275.35031847134
"X33",10.7,2245.29936305732
"X34",10.8,2358.49681528662
"X35",10.9,2422.65605095541
"X36",11,2491.95541401274
"X37",11.1,2538.69426751592
"X38",11.2,2634.25477707006
"X39",11.3,2707.71337579618
"X40",11.4,2754.04458598726
"X41",11.5,2814.36942675159
"X42",11.6,2836.77070063694
"X43",11.7,2875.49044585987
"X44",11.8,2884.9872611465
"X45",11.9,2883.68789808917
"X46",12,2883.93630573248
"X47",12.1,2913.14012738853
"X48",12.2,2923.14012738853
"X49",12.3,2939.70700636943
"X50",12.4,2943.98089171975
"X51",12.5,2955.20382165605
"X52",12.6,2970.50955414013
"X53",12.7,2974.63057324841
"X54",12.8,2996.74522292994
"X55",12.9,3007.3821656051
"X56",13,3005.47770700637
"X57",13.1,2994.8152866242
"X58",13.2,3004.14012738853
"X59",13.3,3024.6050955414
"X60",13.4,3052.1847133758
"X61",13.5,3064.63057324841
"X62",13.6,3045.15923566879
"X63",13.7,3036.34394904459
"X64",13.8,3014.72611464968
"X65",13.9,3014.31210191083
"X66",14,3019.98089171975
"X67",14.1,3009.01910828025
"X68",14.2,2999.0127388535
"X69",14.3,3005.79617834395
"X70",14.4,2986.65605095541
"X71",14.5,2981.45859872611
"X72",14.6,2946.54140127389
"X73",14.7,2950.70063694268
"X74",14.8,2951.6178343949
"X75",14.9,2953.14012738853
"X76",15,2951.97452229299
"X77",15.1,2947.56050955414
"X78",15.2,2949.29936305732
"X79",15.3,2946.22929936306
"X80",15.4,2920.13375796178
"X81",15.5,2923.67515923567
"X82",15.6,2926.77707006369
"X83",15.7,2929.80891719745
"X84",15.8,2964.5923566879
"X85",15.9,2974.57961783439
"X86",16,2994.73248407643
"X87",16.1,2986.53503184713
"X88",16.2,2957.42038216561
"X89",16.3,2928.71974522293
"X90",16.4,2961.53503184713
"X91",16.5,3022.92356687898
"X92",16.6,3083.00636942675
"X93",16.7,3131.29299363057
"X94",16.8,3155.17834394904
"X95",16.9,3109.3949044586
"X96",17,3041.73248407643
"X97",17.1,2904.79617834395
"X98",17.2,2802.65605095541
"X99",17.3,2770.52229299363
"X100",17.4,2690.05095541401
"X101",17.5,2590.16560509554
"X102",17.6,2541.87261146497
"X103",17.7,2503.50955414013
"X104",17.8,2446.96815286624
"X105",17.9,2428.20382165605
"X106",18,2471.23566878981
