"","depth_mm","Fe"
"X1",7.5,917.445859872611
"X2",7.6,909.808917197452
"X3",7.7,871.267515923567
"X4",7.8,852.885350318471
"X5",7.9,839.261146496815
"X6",8,849.127388535032
"X7",8.1,888.968152866242
"X8",8.2,906.859872611465
"X9",8.3,872.821656050955
"X10",8.4,895.713375796178
"X11",8.5,911.923566878981
"X12",8.6,921.585987261146
"X13",8.7,947.070063694268
"X14",8.8,971.458598726115
"X15",8.9,959.184713375796
"X16",9,989.375796178344
"X17",9.1,975.898089171975
"X18",9.2,1005.70700636943
"X19",9.3,988.076433121019
"X20",9.4,911.375796178344
"X21",9.5,881.968152866242
"X22",9.6,883.662420382166
"X23",9.7,823.286624203822
"X24",9.8,818.624203821656
"X25",9.9,863.668789808917
"X26",10,896.898089171975
"X27",10.1,818.165605095541
"X28",10.2,708.808917197452
"X29",10.3,744.834394904459
"X30",10.4,737.942675159236
"X31",10.5,728.471337579618
"X32",10.6,601.955414012739
"X33",10.7,635.777070063694
"X34",10.8,575.070063694268
"X35",10.9,536.974522292994
"X36",11,421.286624203822
"X37",11.1,423.261146496815
"X38",11.2,396.471337579618
"X39",11.3,348.114649681529
"X40",11.4,326.891719745223
"X41",11.5,322.987261146497
"X42",11.6,339.216560509554
"X43",11.7,326.324840764331
"X44",11.8,340.783439490446
"X45",11.9,371.796178343949
"X46",12,378.853503184713
"X47",12.1,339.025477707006
"X48",12.2,318.554140127389
"X49",12.3,313.821656050955
"X50",12.4,313.363057324841
"X51",12.5,304.726114649682
"X52",12.6,301.59872611465
"X53",12.7,293.477707006369
"X54",12.8,293.019108280255
"X55",12.9,307.726114649682
"X56",13,301.248407643312
"X57",13.1,306.229299363057
"X58",13.2,293.656050955414
"X59",13.3,292.057324840764
"X60",13.4,282.082802547771
"X61",13.5,274.184713375796
"X62",13.6,276.12101910828
"X63",13.7,281.165605095541
"X64",13.8,297.312101910828
"X65",13.9,297.579617834395
"X66",14,301.917197452229
"X67",14.1,308.133757961783
"X68",14.2,307.643312101911
"X69",14.3,298.974522292994
"X70",14.4,310.859872611465
"X71",14.5,320.885350318471
"X72",14.6,328.955414012739
"X73",14.7,328.063694267516
"X74",14.8,327.980891719745
"X75",14.9,319.267515923567
"X76",15,319.477707006369
"X77",15.1,324.59872611465
"X78",15.2,330.777070063694
"X79",15.3,334.337579617834
