"","depth_mm","K"
"X1",7.5,56.6451612903226
"X2",7.6,57.9548387096774
"X3",7.7,65.7058823529412
"X4",7.8,69.5096774193548
"X5",7.9,69.8441558441558
"X6",8,65.9346405228758
"X7",8.1,70.5354838709677
"X8",8.2,72.0774193548387
"X9",8.3,71.202614379085
"X10",8.4,76.6862745098039
"X11",8.5,73.3461538461538
"X12",8.6,79.2993630573248
"X13",8.7,82.0382165605096
"X14",8.8,83.828025477707
"X15",8.9,86.2547770700637
"X16",9,89.2675159235669
"X17",9.1,85.8407643312102
"X18",9.2,86.4076433121019
"X19",9.3,82.6369426751592
"X20",9.4,77.1592356687898
"X21",9.5,76.0254777070064
"X22",9.6,70.9363057324841
"X23",9.7,73.3205128205128
"X24",9.8,64.8451612903226
"X25",9.9,51.9047619047619
"X26",10,49.2237762237762
"X27",10.1,46.3082706766917
"X28",10.2,41.2015503875969
"X29",10.3,30.0483870967742
"X30",10.4,26.6936936936937
"X31",10.5,27.0393700787402
"X32",10.6,31.2941176470588
"X33",10.7,32.4328358208955
"X34",10.8,28.0431034482759
"X35",10.9,26.3196721311475
"X36",11,26.1869918699187
"X37",11.1,24.7105263157895
"X38",11.2,24.7560975609756
"X39",11.3,21.0526315789474
"X40",11.4,26.9454545454545
"X41",11.5,19.0566037735849
"X42",11.6,19.2162162162162
"X43",11.7,22.4411764705882
"X44",11.8,16.046511627907
"X45",11.9,16.5
"X46",12,19.7058823529412
"X47",12.1,24.9666666666667
"X48",12.2,16.8333333333333
"X49",12.3,18.1428571428571
"X50",12.4,19.2
"X51",12.5,14.3333333333333
"X52",12.6,15.7575757575758
"X53",12.7,13.2727272727273
"X54",12.8,10.4166666666667
"X55",12.9,12.8571428571429
"X56",13,9.09090909090909
"X57",13.1,11.4137931034483
"X58",13.2,11.12
"X59",13.3,12.4666666666667
"X60",13.4,8.6
"X61",13.5,11.7142857142857
"X62",13.6,9.58823529411765
"X63",13.7,14.4
"X64",13.8,11.6
"X65",13.9,12.2352941176471
"X66",14,12.8461538461538
"X67",14.1,12.8571428571429
"X68",14.2,8.85185185185185
"X69",14.3,13
"X70",14.4,15.4375
"X71",14.5,12.4736842105263
"X72",14.6,13.0384615384615
"X73",14.7,10.8260869565217
"X74",14.8,11.3181818181818
"X75",14.9,14.875
"X76",15,13.5333333333333
"X77",15.1,10.4666666666667
"X78",15.2,12.7826086956522
"X79",15.3,8.82352941176471
"X80",15.4,11.0384615384615
"X81",15.5,16.3076923076923
"X82",15.6,14
"X83",15.7,15.8
"X84",15.8,11.3333333333333
"X85",15.9,10.0833333333333
"X86",16,13.4666666666667
"X87",16.1,11.2142857142857
