"","depth_mm","Mn"
"X1",7.5,104.611464968153
"X2",7.6,105.356687898089
"X3",7.7,104.656050955414
"X4",7.8,107.898089171975
"X5",7.9,112.955414012739
"X6",8,113.070063694268
"X7",8.1,111.96178343949
"X8",8.2,112.707006369427
"X9",8.3,115.745222929936
"X10",8.4,118.904458598726
"X11",8.5,117.859872611465
"X12",8.6,118.522292993631
"X13",8.7,116.076433121019
"X14",8.8,117.203821656051
"X15",8.9,118.305732484076
"X16",9,116.866242038217
"X17",9.1,114.993630573248
"X18",9.2,114.03821656051
"X19",9.3,116.31847133758
"X20",9.4,113.509554140127
"X21",9.5,111.656050955414
"X22",9.6,111.662420382166
"X23",9.7,108.082802547771
"X24",9.8,109.337579617834
"X25",9.9,105.541401273885
"X26",10,103.968152866242
"X27",10.1,102.656050955414
"X28",10.2,102.089171974522
"X29",10.3,100.987261146497
"X30",10.4,102.076433121019
"X31",10.5,99.0063694267516
"X32",10.6,99.4968152866242
"X33",10.7,99.7643312101911
"X34",10.8,95.3566878980892
"X35",10.9,91.6178343949045
"X36",11,92.6687898089172
"X37",11.1,89.5541401273885
"X38",11.2,86.7388535031847
"X39",11.3,85.4968152866242
"X40",11.4,83.1210191082803
"X41",11.5,82.796178343949
"X42",11.6,86.6242038216561
"X43",11.7,86.4012738853503
"X44",11.8,87.2993630573248
"X45",11.9,88.2356687898089
"X46",12,88.2484076433121
"X47",12.1,88.3694267515924
"X48",12.2,87.5286624203822
"X49",12.3,88.1273885350318
"X50",12.4,87.687898089172
"X51",12.5,85.1656050955414
"X52",12.6,87.3566878980892
"X53",12.7,87.5031847133758
"X54",12.8,86.2420382165605
"X55",12.9,87.9171974522293
"X56",13,88.3949044585987
"X57",13.1,87.8726114649682
"X58",13.2,88.8407643312102
"X59",13.3,84.796178343949
"X60",13.4,89.2611464968153
"X61",13.5,86.4140127388535
"X62",13.6,89.0764331210191
"X63",13.7,86.6433121019108
"X64",13.8,90.859872611465
"X65",13.9,91.4713375796178
"X66",14,86.5923566878981
"X67",14.1,86.7133757961783
"X68",14.2,86.4713375796178
"X69",14.3,88.140127388535
"X70",14.4,88.8917197452229
"X71",14.5,91.5286624203822
"X72",14.6,90.9617834394904
"X73",14.7,88.3694267515924
"X74",14.8,89.6369426751592
"X75",14.9,90.9617834394904
"X76",15,91.4331210191083
"X77",15.1,93.1974522292994
"X78",15.2,94.2993630573248
"X79",15.3,88.8152866242038
"X80",15.4,89.2484076433121
"X81",15.5,88.7515923566879
"X82",15.6,88.6305732484076
"X83",15.7,98.6433121019108
"X84",15.8,105.171974522293
"X85",15.9,99.515923566879
"X86",16,98.5923566878981
"X87",16.1,97.5923566878981
"X88",16.2,95.9936305732484
"X89",16.3,95.9299363057325
"X90",16.4,96.3248407643312
"X91",16.5,95.7388535031847
"X92",16.6,97.5859872611465
"X93",16.7,101.191082802548
"X94",16.8,106.636942675159
"X95",16.9,103.03821656051
"X96",17,105.273885350318
"X97",17.1,105.641025641026
"X98",17.2,102.820512820513
"X99",17.3,102.082802547771
"X100",17.4,106.617834394904
"X101",17.5,106.388535031847
"X102",17.6,109.108280254777
"X103",17.7,108.267515923567
"X104",17.8,108.082802547771
"X105",17.9,111.471337579618
"X106",18,110.87898089172
"X107",18.1,114.980891719745
"X108",18.2,117.43949044586
"X109",18.3,112.789808917197
"X110",18.4,114.636942675159
"X111",18.5,114.923566878981
"X112",18.6,114.891719745223
"X113",18.7,115.15923566879
"X114",18.8,112.050955414013
"X115",18.9,113.191082802548
"X116",19,110.885350318471
"X117",19.1,114.089171974522
"X118",19.2,114.56050955414
"X119",19.3,116.044585987261
"X120",19.4,113.114649681529
"X121",19.5,112.337579617834
"X122",19.6,114.745222929936
