"","depth_mm","Si"
"X1",7.5,175.101910828025
"X2",7.6,178.515923566879
"X3",7.7,178.267515923567
"X4",7.8,195.178343949045
"X5",7.9,199.299363057325
"X6",8,192.757961783439
"X7",8.1,189.43949044586
"X8",8.2,191.471337579618
"X9",8.3,197.834394904459
"X10",8.4,195.006369426752
"X11",8.5,197.089171974522
"X12",8.6,201.834394904459
"X13",8.7,206.59872611465
"X14",8.8,213.96178343949
"X15",8.9,211.108280254777
"X16",9,217.59872611465
"X17",9.1,207.904458598726
"X18",9.2,206.40127388535
"X19",9.3,207.299363057325
"X20",9.4,198.949044585987
"X21",9.5,204.254777070064
"X22",9.6,190.84076433121
"X23",9.7,191.528662420382
"X24",9.8,180.03821656051
"X25",9.9,168.057324840764
"X26",10,162.305732484076
"X27",10.1,153.974522292994
"X28",10.2,146.474358974359
"X29",10.3,136.535031847134
"X30",10.4,128.242038216561
"X31",10.5,121.407643312102
"X32",10.6,127.649681528662
"X33",10.7,129.050955414013
"X34",10.8,117.802547770701
"X35",10.9,113.859872611465
"X36",11,114.56050955414
"X37",11.1,111.350318471338
"X38",11.2,100.292993630573
"X39",11.3,93.2292993630573
"X40",11.4,91.0509554140127
"X41",11.5,84.1464968152866
"X42",11.6,83.3184713375796
"X43",11.7,79.0191082802548
"X44",11.8,75.6624203821656
"X45",11.9,78.1592356687898
"X46",12,78.515923566879
"X47",12.1,76.3717948717949
"X48",12.2,71.828025477707
"X49",12.3,72.1146496815287
"X50",12.4,72.8343949044586
"X51",12.5,71.3949044585987
"X52",12.6,68.9235668789809
"X53",12.7,67.2738853503185
"X54",12.8,67.6178343949045
"X55",12.9,68.9808917197452
"X56",13,66.2929936305732
"X57",13.1,67.8216560509554
"X58",13.2,66.7070063694268
"X59",13.3,65.5286624203822
"X60",13.4,65.7388535031847
"X61",13.5,63.2866242038217
"X62",13.6,65.343949044586
"X63",13.7,62.3694267515924
"X64",13.8,65.8980891719745
"X65",13.9,68.6242038216561
"X66",14,68.3503184713376
"X67",14.1,64.5350318471338
"X68",14.2,67.0191082802548
"X69",14.3,66.2802547770701
"X70",14.4,66.5605095541401
"X71",14.5,68.3630573248408
"X72",14.6,71.7006369426752
"X73",14.7,69.8089171974522
"X74",14.8,71.2484076433121
"X75",14.9,72.6624203821656
"X76",15,72.0254777070064
"X77",15.1,70.1974522292994
"X78",15.2,72.4203821656051
"X79",15.3,72.0127388535032
"X80",15.4,73.0636942675159
"X81",15.5,71.968152866242
"X82",15.6,71.2101910828026
"X83",15.7,71.8216560509554
"X84",15.8,67.1794871794872
"X85",15.9,71.2420382165605
"X86",16,68.8853503184713
"X87",16.1,72.3057324840764
"X88",16.2,68.8333333333333
"X89",16.3,69.2838709677419
"X90",16.4,64.1987179487179
"X91",16.5,61.1337579617834
"X92",16.6,59.5096774193548
"X93",16.7,57.5192307692308
"X94",16.8,54.9480519480519
"X95",16.9,69.8235294117647
"X96",17,84.2960526315789
"X97",17.1,91.8692810457516
"X98",17.2,83.1741935483871
"X99",17.3,55.8636363636364
"X100",17.4,50.5751633986928
"X101",17.5,53.7402597402597
"X102",17.6,54.6794871794872
"X103",17.7,51.8333333333333
"X104",17.8,57.5384615384615
"X105",17.9,56.5477707006369
"X106",18,54.7261146496815
"X107",18.1,56.1025641025641
"X108",18.2,52.9936305732484
"X109",18.3,58.859872611465
"X110",18.4,56.0705128205128
"X111",18.5,57.3269230769231
"X112",18.6,52.9808917197452
"X113",18.7,54.8152866242038
"X114",18.8,55.5796178343949
"X115",18.9,57.4649681528662
"X116",19,56.0955414012739
"X117",19.1,58.0955414012739
"X118",19.2,57.8535031847134
"X119",19.3,61.9038461538462
"X120",19.4,59.9235668789809
"X121",19.5,63.2802547770701
"X122",19.6,64.3548387096774
"X123",19.7,60.9235668789809
"X124",19.8,62.2802547770701
"X125",19.9,71.8789808917197
"X126",20,70.8980891719745
"X127",20.1,70.5477707006369
"X128",20.2,68.9490445859873
