"","depth_mm","Ti"
"X1",7.5,25.3269230769231
"X2",7.6,25.0063694267516
"X3",7.7,22.0382165605096
"X4",7.8,20.3694267515924
"X5",7.9,21.515923566879
"X6",8,23.5286624203822
"X7",8.1,22.8980891719745
"X8",8.2,21.8343949044586
"X9",8.3,22.4968152866242
"X10",8.4,21.0320512820513
"X11",8.5,21.7515923566879
"X12",8.6,21.171974522293
"X13",8.7,23.2356687898089
"X14",8.8,23.1019108280255
"X15",8.9,22.624203821656
"X16",9,24.2420382165605
"X17",9.1,22.3694267515924
"X18",9.2,23.3076923076923
"X19",9.3,22.6474358974359
"X20",9.4,21.8461538461538
"X21",9.5,22.4904458598726
"X22",9.6,21.0063694267516
"X23",9.7,20.1935483870968
"X24",9.8,20.5286624203822
"X25",9.9,19.1118421052632
"X26",10,19.2418300653595
"X27",10.1,17.3961038961039
"X28",10.2,17.3441558441558
"X29",10.3,14.8476821192053
"X30",10.4,14.9
"X31",10.5,14.3223684210526
"X32",10.6,14.7337662337662
"X33",10.7,15.5816993464052
"X34",10.8,17.5649350649351
"X35",10.9,14.2402597402597
"X36",11,13.9745222929936
"X37",11.1,12.6923076923077
"X38",11.2,10.7402597402597
"X39",11.3,11.0324675324675
"X40",11.4,11.0662251655629
"X41",11.5,10.2582781456954
"X42",11.6,8.04081632653061
"X43",11.7,9.00719424460432
"X44",11.8,7.4822695035461
"X45",11.9,8.65925925925926
"X46",12,7.84057971014493
"X47",12.1,7.23021582733813
"X48",12.2,6.99300699300699
"X49",12.3,8.06849315068493
"X50",12.4,7.43571428571429
"X51",12.5,7.69285714285714
"X52",12.6,8.29323308270677
"X53",12.7,7.44852941176471
"X54",12.8,6.8029197080292
"X55",12.9,6.62406015037594
"X56",13,6.06521739130435
"X57",13.1,6.40298507462687
"X58",13.2,6.80882352941176
"X59",13.3,6.16546762589928
"X60",13.4,5.98473282442748
"X61",13.5,5.78723404255319
"X62",13.6,5.93006993006993
"X63",13.7,5.47826086956522
"X64",13.8,5.92753623188406
"X65",13.9,5.29850746268657
"X66",14,6.45138888888889
"X67",14.1,6.18571428571429
"X68",14.2,6.11888111888112
"X69",14.3,6.8046875
"X70",14.4,6.3206106870229
"X71",14.5,6.54074074074074
"X72",14.6,6.21374045801527
"X73",14.7,7.14893617021277
"X74",14.8,7.16666666666667
"X75",14.9,6.88148148148148
"X76",15,6.92248062015504
"X77",15.1,6.56818181818182
"X78",15.2,6.28260869565217
"X79",15.3,6.58823529411765
"X80",15.4,7.01459854014599
"X81",15.5,6.65441176470588
"X82",15.6,6.67153284671533
"X83",15.7,6.23703703703704
"X84",15.8,6.30769230769231
"X85",15.9,6.59558823529412
"X86",16,7.59523809523809
"X87",16.1,6.38931297709924
"X88",16.2,6.53030303030303
"X89",16.3,6.26984126984127
"X90",16.4,5.74193548387097
"X91",16.5,7.140625
"X92",16.6,6.0650406504065
"X93",16.7,6
"X94",16.8,5.59649122807018
"X95",16.9,5.52991452991453
"X96",17,5.24786324786325
"X97",17.1,5.14018691588785
"X98",17.2,5.82456140350877
"X99",17.3,5.30357142857143
"X100",17.4,5.26168224299065
"X101",17.5,5.8141592920354
"X102",17.6,5.76851851851852
"X103",17.7,6.30555555555556
"X104",17.8,7.08
"X105",17.9,6.42156862745098
"X106",18,7.33333333333333
"X107",18.1,6.04716981132075
"X108",18.2,6.39449541284404
"X109",18.3,6.59047619047619
"X110",18.4,5.87719298245614
"X111",18.5,7.98979591836735
"X112",18.6,6.64705882352941
"X113",18.7,5.48571428571429
"X114",18.8,5.49532710280374
"X115",18.9,6.48214285714286
"X116",19,7.18348623853211
"X117",19.1,6.1047619047619
"X118",19.2,6.55932203389831
"X119",19.3,6.21818181818182
"X120",19.4,6.45
"X121",19.5,5.82407407407407
"X122",19.6,6.72268907563025
"X123",19.7,6.83760683760684
"X124",19.8,6.1796875
"X125",19.9,8.27826086956522
"X126",20,6.51219512195122
"X127",20.1,7.06896551724138
"X128",20.2,6.24427480916031
"X129",20.3,7.02479338842975
"X130",20.4,6.84496124031008
"X131",20.5,7.35658914728682
"X132",20.6,6.78947368421053
"X133",20.7,6.58518518518519
"X134",20.8,8.26428571428571
"X135",20.9,5.95833333333333
"X136",21,6.72992700729927
"X137",21.1,7.06428571428571
"X138",21.2,6.49640287769784
"X139",21.3,8.03759398496241
"X140",21.4,6.32575757575758
"X141",21.5,6.79527559055118
"X142",21.6,7.04861111111111
"X143",21.7,6.65384615384615
"X144",21.8,6.09701492537313
"X145",21.9,7.1
"X146",22,8.22627737226277
"X147",22.1,7.48484848484848
"X148",22.2,6.58695652173913
"X149",22.3,7.35714285714286
"X150",22.4,7.26573426573427
"X151",22.5,7.5886524822695
"X152",22.6,5.9448275862069
"X153",22.7,7.1044776119403
"X154",22.8,7.00746268656716
"X155",22.9,6.77142857142857
"X156",23,6.76760563380282
"X157",23.1,6.52482269503546
"X158",23.2,7.03571428571429
"X159",23.3,7.125
"X160",23.4,7.64285714285714
"X161",23.5,8.05
"X162",23.6,7.25694444444444
"X163",23.7,7.16296296296296
"X164",23.8,8.05035971223022
"X165",23.9,8.66666666666667
"X166",24,9.23611111111111
"X167",24.1,9.14285714285714
"X168",24.2,9.28260869565217
"X169",24.3,10.9154929577465
"X170",24.4,10.9574468085106
"X171",24.5,10.886524822695
"X172",24.6,12.1571428571429
"X173",24.7,12.9020979020979
"X174",24.8,13.1655172413793
"X175",24.9,11.8680555555556
"X176",25,13.1034482758621
"X177",25.1,14.1946308724832
"X178",25.2,14.0625
"X179",25.3,16.8832116788321
"X180",25.4,16.8
"X181",25.5,17.6071428571429
"X182",25.6,18.4710144927536
"X183",25.7,20.7272727272727
"X184",25.8,22.4295774647887
"X185",25.9,20.6216216216216
"X186",26,20.7254901960784
"X187",26.1,18.6158940397351
"X188",26.2,22.0839160839161
"X189",26.3,23.556338028169
"X190",26.4,25.8211920529801
"X191",26.5,23.0522875816993
"X192",26.6,24.006711409396
"X193",26.7,25.7291666666667
"X194",26.8,24.8333333333333
"X195",26.9,28.496644295302
"X196",27,22.2960526315789
"X197",27.1,22.3624161073826
"X198",27.2,22.2380952380952
"X199",27.3,23.1971830985915
"X200",27.4,20.0839160839161
"X201",27.5,20.2937062937063
"X202",27.6,18.1180555555556
"X203",27.7,19.2430555555556
"X204",27.8,19.4551724137931
"X205",27.9,18.9931034482759
"X206",28,17.2013888888889
"X207",28.1,16.1714285714286
"X208",28.2,13.5833333333333
"X209",28.3,13.6758620689655
"X210",28.4,12.9315068493151
"X211",28.5,12.0136054421769
"X212",28.6,12.3333333333333
"X213",28.7,13.354609929078
"X214",28.8,10.6830985915493
"X215",28.9,10.3525179856115
"X216",29,12.136690647482
"X217",29.1,11.2214285714286
"X218",29.2,13.1875
"X219",29.3,11.4121621621622
"X220",29.4,10.4357142857143
"X221",29.5,11.4296296296296
"X222",29.6,10.6232876712329
"X223",29.7,9.51449275362319
"X224",29.8,9.64539007092199
"X225",29.9,11.7857142857143
"X226",30,10.1714285714286
"X227",30.1,9.99236641221374
"X228",30.2,11.4366197183099
"X229",30.3,12.2867132867133
"X230",30.4,10.7103448275862
"X231",30.5,10.8695652173913
"X232",30.6,12.2444444444444
"X233",30.7,14.6690647482014
"X234",30.8,13.241134751773
"X235",30.9,11.3285714285714
"X236",31,11.6040268456376
"X237",31.1,11.6891891891892
"X238",31.2,10.0972222222222
"X239",31.3,12.4621212121212
"X240",31.4,11.6137931034483
"X241",31.5,11.5428571428571
"X242",31.6,11.5942028985507
"X243",31.7,12.2222222222222
"X244",31.8,13.5839416058394
"X245",31.9,12.0268456375839
"X246",32,13.1971830985915
"X247",32.1,10.8802816901408
"X248",32.2,12.5563909774436
"X249",32.3,15.5177304964539
"X250",32.4,16.7943262411348
"X251",32.5,13.3630136986301
"X252",32.6,12.3691275167785
"X253",32.7,14.1347517730496
"X254",32.8,11.1294964028777
"X255",32.9,12.5955882352941
"X256",33,12.3868613138686
"X257",33.1,12.4160583941606
"X258",33.2,13.8676470588235
"X259",33.3,14.3286713286713
"X260",33.4,15.9328358208955
"X261",33.5,15.7461538461538
"X262",33.6,16.4539007092199
"X263",33.7,17.9300699300699
"X264",33.8,18.5144927536232
"X265",33.9,17.5390070921986
"X266",34,19.6259541984733
"X267",34.1,17.8686131386861
"X268",34.2,17.8296296296296
"X269",34.3,21.9407407407407
"X270",34.4,21.4580152671756
"X271",34.5,20.3358208955224
"X272",34.6,19.3561643835616
"X273",34.7,21.7014925373134
"X274",34.8,20.0142857142857
"X275",34.9,22.4507042253521
"X276",35,20.9513888888889
"X277",35.1,21.8057553956835
"X278",35.2,20.2589928057554
"X279",35.3,25.1764705882353
"X280",35.4,23.8444444444444
"X281",35.5,23.4609929078014
"X282",35.6,24.4761904761905
"X283",35.7,25.822695035461
"X284",35.8,24.4178082191781
"X285",35.9,24.9507042253521
"X286",36,24.7581699346405
"X287",36.1,26.7114093959732
"X288",36.2,29.9160839160839
"X289",36.3,27.2080536912752
"X290",36.4,30.5241379310345
"X291",36.5,28.3154362416107
"X292",36.6,29.5821917808219
